Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
ZG01,0.597,0.000449,119.5,0.6,0.32,2.98,4.48,9988,108,0.44,0.4,1.5,2.16,0.652
ZG02,0.641,0.000429,127.5,0.554,0.302,2.69,4.28,9973,123,0.387,0.446,1.45,2.1,0.631
ZG03,0.624,0.000436,116.5,0.57,0.311,2.77,4.35,9971,113,0.325,0.43,1.47,2.12,0.638
ZG04,0.624,0.000441,123.3,0.572,0.312,2.8,4.4,9974,116,0.393,0.428,1.48,2.14,0.643
ZP01,0.147,0.00449,350.9,0.948,0.651,25.9,45.1,10025,348,0.335,0.0524,3.81,5.49,1.65
ZP02,0.193,0.00612,535,0.943,0.658,28.3,61.9,10111,530,0.403,0.0566,4.13,5.95,1.79
ZP03,0.196,0.00444,450.5,0.927,0.622,20.6,44.3,9972,445,0.417,0.0732,3.79,5.47,1.65
ZP04,0.189,0.00462,389.7,0.936,0.642,23.1,45.9,9943,387,0.335,0.0642,3.83,5.52,1.66
ZS01,0.118,0.00593,383,0.957,0.685,32.5,58.8,9911,383,0.349,0.0432,4.07,5.88,1.77
ZS02,0.173,0.00503,390,0.944,0.656,25.8,50,9954,390,0.353,0.0563,3.91,5.65,1.7
ZS03,0.168,0.00552,460.3,0.943,0.654,26.4,55,9967,457,0.356,0.0567,4.01,5.78,1.74
ZS04,0.153,0.00712,588.6,0.957,0.671,35.3,72,10116,585,0.404,0.043,4.28,6.17,1.86
ZW01,0.121,0.00382,281.7,0.953,0.648,25.9,38.4,10060,278,0.351,0.0473,3.65,5.26,1.58
ZW02,0.12,0.0032,276.1,0.944,0.625,21.7,32.1,10029,257,0.407,0.0561,3.47,5,1.51
ZW03,0.0915,0.00399,280.7,0.956,0.654,27.4,40,10027,280,0.278,0.0437,3.69,5.32,1.6
ZW04,0.154,0.00297,270,0.933,0.61,18.9,29.8,10034,261,0.454,0.0669,3.4,4.9,1.47
