"","berger_parker","buzas_gibson","chao1","dominance","equitability","jost","jost1","reads","richness","robbins","simpson","shannon_e","shannon_2","shannon_10","Timepoint","zOTU_berger_parker","zOTU_buzas_gibson","zOTU_chao1","zOTU_dominance","zOTU_equitability","zOTU_jost","zOTU_jost1","zOTU_reads","zOTU_richness","zOTU_robbins","zOTU_simpson","zOTU_shannon_e","zOTU_shannon_2","zOTU_shannon_10"
"3P011",0.138,0.00219,119,0.925,0.645,15.8,21.8,9991,119,0.3,0.0748,3.08,4.45,1.34,"T2",0.137,0.00375,214,0.946,0.675,24.1,37.5,9994,214,0.321,0.0541,3.62,5.23,1.57
"3P021",0.244,0.00204,180.5,0.898,0.582,12.8,20.3,9970,176,0.322,0.102,3.01,4.34,1.31,"T2",0.201,0.00511,422.6,0.939,0.65,24.8,50.8,9942,421,0.315,0.0614,3.93,5.67,1.71
"3P031",0.458,0.00105,175.8,0.766,0.458,5.84,10.6,10030,172,0.399,0.234,2.36,3.4,1.02,"T2",0.162,0.00401,448,0.938,0.608,22.1,40.6,10124,444,0.431,0.0622,3.7,5.34,1.61
"3P041",0.499,0.000951,150.7,0.725,0.45,4.94,9.48,9978,149,0.273,0.275,2.25,3.25,0.977,"T2",0.222,0.00308,390.9,0.895,0.574,13.7,30.7,9957,389,0.315,0.105,3.42,4.94,1.49
"3S011",0.295,0.00144,173.8,0.861,0.524,9.13,14.5,10032,165,0.404,0.139,2.67,3.86,1.16,"T2",0.284,0.00248,350.1,0.888,0.552,12.7,25,10084,341,0.45,0.112,3.22,4.64,1.4
"3S021",0.294,0.00127,144.8,0.853,0.513,8.39,12.7,9979,141,0.331,0.147,2.54,3.66,1.1,"T2",0.182,0.00395,386.3,0.93,0.617,20.3,39.3,9936,383,0.346,0.0697,3.67,5.3,1.59
"3S031",0.159,0.00235,150.7,0.927,0.63,16.5,23.4,9968,149,0.233,0.0733,3.15,4.55,1.37,"T2",0.0777,0.00676,431.4,0.968,0.694,41,67.2,9945,429,0.323,0.0317,4.21,6.07,1.83
"3S041",0.15,0.00292,214.3,0.936,0.629,19.4,29.1,9975,213,0.299,0.0641,3.37,4.86,1.46,"T2",0.0881,0.00901,562.1,0.971,0.711,48.7,89.7,9947,557,0.355,0.0292,4.5,6.49,1.95
"3W011",0.326,0.00132,148.9,0.845,0.518,8.24,13.2,9983,146,0.313,0.155,2.58,3.72,1.12,"T2",0.215,0.00379,438.5,0.917,0.597,17.4,37.8,9965,437,0.32,0.0834,3.63,5.24,1.58
"3W021",0.282,0.00172,119.3,0.881,0.596,11.1,17.2,9985,118,0.286,0.119,2.85,4.1,1.24,"T2",0.27,0.00325,377.8,0.902,0.588,15.3,32.4,9960,372,0.365,0.0977,3.48,5.02,1.51
"3W031",0.236,0.00143,137.3,0.874,0.541,9.7,14.3,9969,136,0.307,0.126,2.66,3.83,1.15,"T2",0.19,0.00489,409.5,0.937,0.647,23.6,48.7,9951,406,0.337,0.0633,3.89,5.61,1.69
"3W041",0.243,0.00181,164,0.889,0.57,11.5,18.1,9986,160,0.335,0.111,2.9,4.18,1.26,"T2",0.129,0.00592,472.6,0.95,0.663,29.2,58.9,9958,468,0.362,0.0497,4.08,5.88,1.77
"4D011",0.268,0.00159,140,0.873,0.569,10.1,15.9,9993,129,0.362,0.127,2.76,3.99,1.2,"T2",0.234,0.00377,335.1,0.915,0.625,17.7,37.5,9959,331,0.292,0.0851,3.63,5.23,1.57
"4D021",0.247,0.00125,115.1,0.865,0.538,8.76,12.5,9994,109,0.318,0.135,2.52,3.64,1.1,"T2",0.209,0.0028,308.5,0.91,0.582,14.8,27.9,9953,305,0.294,0.0903,3.33,4.8,1.45
"4D031",0.177,0.00235,168.3,0.915,0.618,15.2,23.5,9985,165,0.307,0.0845,3.16,4.56,1.37,"T2",0.11,0.00594,436.5,0.956,0.673,31.8,59.2,9977,432,0.346,0.044,4.08,5.89,1.77
"4D041",0.188,0.00154,132.6,0.892,0.566,11,15.4,10010,125,0.341,0.108,2.74,3.95,1.19,"T2",0.139,0.00376,309.7,0.936,0.632,21.2,37.4,9962,308,0.275,0.0636,3.62,5.23,1.57
"4G011",0.366,0.00166,194.6,0.838,0.534,8.73,16.6,9984,191,0.323,0.162,2.81,4.05,1.22,"T2",0.184,0.0068,589.2,0.947,0.661,30.1,67.7,9963,586,0.361,0.0528,4.22,6.08,1.83
"4G021",0.254,0.00104,128.4,0.846,0.486,7.44,10.3,9985,122,0.35,0.154,2.34,3.37,1.01,"T2",0.148,0.00408,358.1,0.944,0.632,23.7,40.7,9976,350,0.413,0.0559,3.71,5.35,1.61
"4G031",0.221,0.00148,166.8,0.874,0.528,9.65,14.7,9976,163,0.287,0.126,2.69,3.88,1.17,"T2",0.133,0.00626,467.9,0.958,0.672,33.3,62.2,9946,466,0.323,0.0422,4.13,5.96,1.79
"4G041",0.375,0.00138,198.1,0.818,0.503,7.43,13.8,9980,184,0.373,0.182,2.62,3.78,1.14,"T2",0.215,0.00617,545.5,0.934,0.654,25,61.3,9935,542,0.337,0.0661,4.12,5.94,1.79
"4P011",0.233,0.00148,159.9,0.874,0.538,9.66,14.9,10025,151,0.362,0.126,2.7,3.9,1.17,"T2",0.173,0.00312,426.4,0.919,0.572,16.5,31.6,10129,421,0.429,0.0808,3.45,4.98,1.5
"4P021",0.197,0.00131,99.1,0.888,0.564,10.1,13.1,9975,96,0.258,0.112,2.57,3.71,1.12,"T2",0.11,0.00468,377.5,0.95,0.649,26.5,46.6,9968,374,0.333,0.0499,3.84,5.54,1.67
"4P031",0.221,0.00139,101.8,0.879,0.571,9.85,13.9,9988,100,0.208,0.121,2.63,3.8,1.14,"T2",0.153,0.00356,322.5,0.933,0.618,19.7,35.4,9961,322,0.201,0.067,3.57,5.15,1.55
"4P041",0.151,0.00209,163.3,0.918,0.599,14.6,20.9,10011,159,0.35,0.0815,3.04,4.38,1.32,"T2",0.0876,0.00613,410.1,0.961,0.684,34.6,61,9947,407,0.299,0.0388,4.11,5.93,1.79
"4S011",0.346,0.00177,177.9,0.854,0.557,9.7,17.7,9980,174,0.337,0.146,2.87,4.14,1.25,"T2",0.228,0.00633,524.2,0.934,0.662,25.8,63,9954,521,0.347,0.0665,4.14,5.98,1.8
"4S021",0.239,0.00102,270.1,0.865,0.53,8.3,10.2,10009,80,0.481,0.135,2.32,3.35,1.01,"T2",0.222,0.00186,244.7,0.901,0.541,12.4,18.6,10025,222,0.453,0.0994,2.93,4.22,1.27
"4S031",0.231,0.00176,131,0.9,0.589,12.2,17.5,9976,129,0.246,0.1,2.86,4.13,1.24,"T2",0.122,0.00542,401.4,0.955,0.666,30,53.9,9939,398,0.316,0.0452,3.99,5.75,1.73
"4S041",0.204,0.00129,103,0.882,0.553,9.69,12.9,9989,101,0.275,0.118,2.55,3.68,1.11,"T2",0.15,0.00368,347.7,0.933,0.617,20,36.7,9964,343,0.349,0.0667,3.6,5.2,1.56
"4W011",0.38,0.0011,146.1,0.796,0.483,6.33,11,9979,143,0.292,0.204,2.4,3.46,1.04,"T2",0.35,0.00267,487.3,0.851,0.53,10.2,26.6,9957,485,0.395,0.149,3.28,4.73,1.42
"4W021",0.288,0.001,91.8,0.842,0.512,7.35,10,9985,90,0.209,0.158,2.3,3.32,1,"T2",0.157,0.00287,291.9,0.924,0.591,16.8,28.6,9976,291,0.274,0.0761,3.35,4.84,1.46
"4W03",0.3,0.00177,175.8,0.865,0.557,9.99,17.7,9972,174,0.24,0.135,2.87,4.14,1.25,"T2",0.155,0.00614,562.2,0.949,0.651,28.9,61.2,9959,557,0.409,0.0515,4.11,5.93,1.79
"4W041",0.428,0.00136,169.9,0.792,0.509,6.82,13.5,9965,167,0.286,0.208,2.6,3.76,1.13,"T2",0.236,0.00494,549.5,0.92,0.618,19.8,49.1,9954,545,0.374,0.0802,3.89,5.62,1.69
"5D011",0.649,0.000454,62,0.564,0.372,2.86,4.53,9983,58,0.288,0.436,1.51,2.18,0.656,"T2",0.572,0.000933,188.6,0.664,0.427,4.18,9.31,9975,185,0.301,0.336,2.23,3.22,0.969
"5D021",0.898,0.000177,164,0.192,0.16,1.35,1.77,9995,36,0.432,0.808,0.573,0.827,0.249,"T2",0.869,0.00023,109.6,0.243,0.179,1.48,2.29,9990,102,0.34,0.757,0.83,1.2,0.36
"5D031",0.405,0.000914,63,0.797,0.534,6.25,9.14,10000,63,0,0.203,2.21,3.19,0.961,"T2",0.392,0.00133,157,0.818,0.513,7.53,13.4,10022,157,0,0.182,2.59,3.74,1.13
"5D041",0.649,0.00034,59.5,0.533,0.306,2.47,3.4,9993,55,0.429,0.467,1.22,1.77,0.532,"T2",0.591,6e-04,163.5,0.619,0.358,3.33,5.99,9984,149,0.467,0.381,1.79,2.58,0.778
"5G011",0.383,0.000694,77.6,0.744,0.447,4.64,6.93,9994,76,0.234,0.256,1.94,2.79,0.841,"T2",0.338,0.0014,242.9,0.807,0.481,6.9,13.9,9971,240,0.353,0.193,2.63,3.8,1.14
"5G021",0.163,0.00198,167.8,0.912,0.587,13.7,19.8,9980,161,0.364,0.0879,2.98,4.31,1.3,"T2",0.111,0.00753,474.7,0.962,0.702,38.8,75,9961,469,0.33,0.0378,4.32,6.23,1.88
"5G031",0.18,0.00171,163,0.897,0.558,11.5,17,9983,161,0.309,0.103,2.84,4.09,1.23,"T2",0.124,0.00727,491,0.96,0.692,37,72.3,9949,488,0.333,0.0397,4.28,6.18,1.86
"5G041",0.617,0.00059,110.9,0.604,0.382,3.27,5.9,10005,104,0.39,0.396,1.77,2.56,0.771,"T2",0.57,0.00109,269.3,0.665,0.428,4.26,10.8,9959,263,0.348,0.335,2.38,3.44,1.03
"5P011",0.445,0.000659,71.2,0.729,0.453,4.47,6.59,9988,64,0.292,0.271,1.89,2.72,0.819,"T2",0.344,0.00165,208.7,0.829,0.526,8.12,16.5,9977,207,0.26,0.171,2.8,4.04,1.22
"5P021",0.808,0.000288,106.3,0.345,0.235,1.78,2.88,9998,90,0.44,0.655,1.06,1.52,0.459,"T2",0.762,0.000451,245.7,0.417,0.277,2.13,4.5,9978,227,0.482,0.583,1.5,2.17,0.653
"5P031",0.42,0.000569,71,0.736,0.41,4.3,5.69,9986,69,0.257,0.264,1.74,2.51,0.755,"T2",0.355,0.00154,206.8,0.832,0.514,8.16,15.4,9975,204,0.337,0.168,2.73,3.94,1.19
"5P041",0.229,0.00119,123.7,0.863,0.518,8.55,11.9,10006,119,0.333,0.137,2.48,3.57,1.08,"T2",0.182,0.00298,334.5,0.914,0.586,15.7,29.9,10024,331,0.358,0.0864,3.4,4.9,1.48
"5S011",0.28,0.000924,110.9,0.821,0.484,6.59,9.24,9998,99,0.39,0.179,2.22,3.21,0.966,"T2",0.23,0.00257,279.5,0.892,0.578,13,25.7,9993,275,0.359,0.108,3.25,4.68,1.41
"5S021",0.431,0.000852,93,0.77,0.476,5.48,8.52,10005,90,0.297,0.23,2.14,3.09,0.931,"T2",0.363,0.0018,253.2,0.835,0.523,8.58,18,10018,252,0.296,0.165,2.89,4.17,1.26
"5S031",0.454,0.000903,124.1,0.761,0.467,5.49,9.03,9996,111,0.366,0.239,2.2,3.17,0.956,"T2",0.358,0.00247,332.5,0.852,0.554,10.5,24.7,10011,329,0.361,0.148,3.21,4.63,1.39
"5S041",0.17,0.00206,137.4,0.919,0.622,14.8,20.6,9994,129,0.315,0.0814,3.02,4.36,1.31,"T2",0.166,0.00351,254.7,0.94,0.644,22.2,35.1,9996,251,0.369,0.0596,3.56,5.13,1.55
"5W011",0.67,0.000391,69.1,0.533,0.342,2.59,3.91,9991,54,0.2,0.467,1.36,1.97,0.592,"T2",0.633,0.000573,151.6,0.583,0.349,3.07,5.72,9986,148,0.322,0.417,1.74,2.52,0.757
"5W02",0.545,0.000599,81.9,0.677,0.414,3.9,5.98,9985,75,0.342,0.323,1.79,2.58,0.777,"T2",0.462,0.00126,228.3,0.767,0.469,6.07,12.6,9960,221,0.396,0.233,2.53,3.65,1.1
"5W031",0.703,0.000325,60.5,0.487,0.289,2.29,3.25,9986,59,0.317,0.513,1.18,1.7,0.511,"T2",0.578,0.000746,156.9,0.65,0.4,3.83,7.43,9963,151,0.408,0.35,2.01,2.89,0.871
"5W041",0.394,0.000706,97,0.776,0.435,5.21,7.05,9976,89,0.4,0.224,1.95,2.82,0.848,"T2",0.263,0.00237,291.4,0.891,0.558,12.4,23.6,9965,288,0.315,0.109,3.16,4.56,1.37
"MOCK",0.271,0.000717,38,0.835,0.657,6.49,7.17,9993,20,0.286,0.165,1.97,2.84,0.855,"T2",0.242,0.000932,51.5,0.859,0.677,7.92,9.31,9988,27,0.25,0.141,2.23,3.22,0.969
"NC",0.5,2e-04,2,0.5,1,2,2,10000,2,0,0.5,0.693,1,0.301,"T2",0.5,2e-04,2,0.5,1,2,2,10000,2,0,0.5,0.693,1,0.301
"1C01",0.441,0.000591,49.9,0.732,0.461,4.38,5.9,9988,47,0.25,0.268,1.78,2.56,0.771,"T3",0.428,0.000827,101.4,0.759,0.464,5.17,8.26,9986,95,0.26,0.241,2.11,3.05,0.917
"1C02",0.41,0.000303,48,0.655,0.4,2.94,3.03,9993,16,0.471,0.345,1.11,1.6,0.481,"T3",0.409,0.000337,36.1,0.669,0.357,3.12,3.37,9992,30,0.452,0.331,1.21,1.75,0.528
"1C03",0.231,0.00162,103,0.901,0.61,12.1,16.2,9986,96,0.309,0.099,2.79,4.02,1.21,"T3",0.187,0.00282,180.7,0.929,0.644,18,28.1,9975,178,0.246,0.0714,3.34,4.81,1.45
"1C04",0.483,0.000592,55.9,0.717,0.448,4.27,5.91,9991,53,0.315,0.283,1.78,2.56,0.772,"T3",0.347,0.00104,103.2,0.824,0.507,7.03,10.3,9986,100,0.277,0.176,2.34,3.37,1.01
"1D012",0.142,0.00221,113.2,0.927,0.655,16.4,22,9985,112,0.23,0.0728,3.09,4.46,1.34,"T3",0.11,0.00335,203.2,0.948,0.661,23.6,33.4,9980,202,0.296,0.0515,3.51,5.06,1.52
