"","berger_parker","buzas_gibson","chao1","dominance","equitability","jost","jost1","reads","richness","robbins","simpson","shannon_e","shannon_2","shannon_10","Timepoint","zOTU_berger_parker","zOTU_buzas_gibson","zOTU_chao1","zOTU_dominance","zOTU_equitability","zOTU_jost","zOTU_jost1","zOTU_reads","zOTU_richness","zOTU_robbins","zOTU_simpson","zOTU_shannon_e","zOTU_shannon_2","zOTU_shannon_10"
"1D01",0.69,0.000337,61,0.502,0.295,2.37,3.36,9990,61,0.403,0.498,1.21,1.75,0.527,"T1",0.693,0.000391,106,0.504,0.292,2.44,3.91,9991,106,0.449,0.496,1.36,1.97,0.592
"1D02",0.186,0.00234,154.7,0.914,0.626,14.8,23.4,9998,154,0.161,0.0857,3.15,4.55,1.37,"T1",0.163,0.00415,281.5,0.939,0.661,22.6,41.4,9981,280,0.21,0.0613,3.72,5.37,1.62
"1D03",0.191,0.00257,130,0.92,0.667,16.3,25.7,9990,130,0,0.0803,3.25,4.68,1.41,"T1",0.165,0.00447,238,0.943,0.694,24.9,44.7,10004,238,0,0.0567,3.8,5.48,1.65
"1D04",0.176,0.00212,61,0.913,0.743,14.4,21.2,9994,61,0,0.0875,3.05,4.41,1.33,"T1",0.138,0.00389,99,0.945,0.797,24.9,38.9,10011,99,0,0.0547,3.66,5.28,1.59
"1G02",0.57,0.000242,87,0.52,0.244,2.16,2.42,9993,37,0.526,0.48,0.882,1.27,0.383,"T1",0.555,0.000284,70.8,0.55,0.262,2.36,2.84,9989,54,0.527,0.45,1.04,1.51,0.453
"1G03",0.845,0.000184,59.5,0.272,0.152,1.49,1.84,9993,55,0.536,0.728,0.61,0.879,0.265,"T1",0.75,0.000278,102.6,0.42,0.241,1.98,2.78,9978,69,0.586,0.58,1.02,1.47,0.443
"1G04",0.59,0.000354,87.7,0.59,0.292,2.74,3.55,10008,77,0.474,0.41,1.27,1.83,0.55,"T1",0.489,0.000506,130.4,0.689,0.337,3.7,5.07,10017,124,0.544,0.311,1.62,2.34,0.705
"1P01",0.129,0.00454,168,0.952,0.745,28.5,45.4,10006,168,0,0.0482,3.82,5.51,1.66,"T1",0.112,0.00767,298,0.967,0.762,43.7,76.9,10020,298,0,0.0333,4.34,6.26,1.89
"1P02",0.135,0.00488,274,0.949,0.693,27.6,48.8,9995,273,0.186,0.051,3.89,5.61,1.69,"T1",0.112,0.0084,488.8,0.962,0.715,40.5,83.8,9978,488,0.186,0.0382,4.43,6.39,1.92
"1P03",0.227,0.00306,194,0.912,0.649,16.3,30.6,9997,194,0,0.0876,3.42,4.93,1.49,"T1",0.138,0.00547,331,0.95,0.69,28.8,54.7,10011,331,0,0.0495,4,5.77,1.74
"1P04",0.186,0.00355,227,0.92,0.658,17.9,35.5,10005,227,0,0.0803,3.57,5.15,1.55,"T1",0.183,0.00543,356,0.933,0.68,23.4,54.5,10035,356,0,0.0672,4,5.77,1.74
"1S01",0.814,0.000221,82.7,0.322,0.18,1.64,2.21,9993,82,0.301,0.678,0.794,1.15,0.345,"T1",0.437,0.000444,132.5,0.661,0.306,3.26,4.44,9983,131,0.424,0.339,1.49,2.15,0.647
"1S02",0.224,0.00282,247.3,0.91,0.606,15.4,28.1,9963,246,0.251,0.0901,3.34,4.81,1.45,"T1",0.218,0.00446,440.1,0.923,0.623,19.8,44.4,9949,439,0.248,0.077,3.79,5.47,1.65
"1S03",0.232,0.00304,278.1,0.912,0.609,16.1,30.4,9987,272,0.359,0.0883,3.41,4.92,1.48,"T1",0.137,0.00554,524.8,0.947,0.642,27.3,55.4,10010,518,0.391,0.0526,4.02,5.79,1.74
"1S04",0.658,0.000577,126,0.557,0.363,2.93,5.78,10022,126,0,0.443,1.76,2.53,0.762,"T1",0.618,0.000804,221,0.61,0.387,3.5,8.09,10058,221,0,0.39,2.09,3.02,0.908
"1W01",0.783,0.000297,80.5,0.381,0.249,1.9,2.97,9992,79,0.263,0.619,1.09,1.57,0.473,"T1",0.777,0.00032,120.7,0.39,0.243,1.94,3.2,9992,119,0.358,0.61,1.16,1.68,0.505
"1W02",0.909,0.000167,83.2,0.171,0.12,1.29,1.66,9979,70,0.507,0.829,0.509,0.735,0.221,"T1",0.904,0.000175,99.2,0.181,0.124,1.32,1.75,9957,90,0.473,0.819,0.557,0.803,0.242
"1W03",0.966,0.00013,81,0.067,0.0611,1.11,1.3,10020,75,0.5,0.933,0.264,0.381,0.115,"T1",0.962,0.000137,132.4,0.074,0.0649,1.12,1.37,10039,128,0.574,0.926,0.315,0.455,0.137
"1W04",0.689,0.00051,125.2,0.519,0.338,2.66,5.1,9991,124,0.232,0.481,1.63,2.35,0.707,"T1",0.68,0.000597,199.1,0.531,0.338,2.78,5.96,9983,198,0.276,0.469,1.78,2.58,0.775
"2D01",0.167,0.00234,140.1,0.925,0.639,16.4,23.4,10001,138,0.266,0.0752,3.15,4.55,1.37,"T1",0.127,0.00363,234.7,0.946,0.659,23.6,36.3,9996,233,0.286,0.0544,3.59,5.18,1.56
"2D02",0.245,0.00146,92.9,0.886,0.593,10.6,14.6,9998,92,0.237,0.114,2.68,3.87,1.16,"T1",0.237,0.00202,163.3,0.898,0.592,12.7,20.2,9992,160,0.317,0.102,3,4.33,1.3
"2D03",0.21,0.00206,140.5,0.915,0.623,14.6,20.6,9975,128,0.271,0.0845,3.03,4.36,1.31,"T1",0.168,0.00411,268.9,0.947,0.665,25.4,40.9,9956,265,0.327,0.0532,3.71,5.35,1.61
"2D04",0.128,0.00249,167.6,0.931,0.634,17.5,24.9,9993,159,0.338,0.0688,3.21,4.64,1.4,"T1",0.116,0.00421,309.1,0.948,0.654,25.4,42,9977,303,0.368,0.0519,3.74,5.39,1.62
"2G01",0.218,0.00223,148.6,0.91,0.621,14.3,22.2,9976,148,0.181,0.09,3.1,4.48,1.35,"T1",0.162,0.004,336.7,0.938,0.634,22.1,39.9,9981,334,0.296,0.0617,3.69,5.32,1.6
"2G02",0.182,0.00231,156.2,0.918,0.624,15.4,23.1,10002,153,0.279,0.0823,3.14,4.53,1.36,"T1",0.142,0.00428,300.1,0.951,0.66,26.8,42.8,9998,297,0.332,0.0486,3.76,5.42,1.63
"2G04",0.149,0.00166,115.1,0.908,0.597,12.5,16.6,9993,110,0.288,0.0922,2.81,4.05,1.22,"T1",0.15,0.00318,255.9,0.938,0.625,20.4,31.8,9986,252,0.352,0.0615,3.46,4.99,1.5
"2P01",0.41,0.000652,92,0.748,0.422,4.64,6.51,9986,85,0.349,0.252,1.87,2.7,0.814,"T1",0.407,0.000829,150.5,0.763,0.424,5.16,8.26,9969,146,0.367,0.237,2.11,3.05,0.917
"2P02",0.416,0.001,116,0.786,0.486,6.1,10,9999,114,0.33,0.214,2.3,3.32,1,"T1",0.353,0.00172,241.5,0.839,0.521,8.73,17.1,9978,234,0.413,0.161,2.84,4.1,1.23
"2P03",0.136,0.00344,194.6,0.944,0.674,22.7,34.4,9996,191,0.266,0.0556,3.54,5.1,1.54,"T1",0.0832,0.00592,322.2,0.964,0.707,36.4,59.2,9993,321,0.242,0.0361,4.08,5.89,1.77
"2P04",0.195,0.00179,120.1,0.901,0.604,12.3,17.9,9981,119,0.208,0.0987,2.89,4.16,1.25,"T1",0.19,0.00313,252.6,0.922,0.622,17.6,31.1,9962,251,0.278,0.0778,3.44,4.96,1.49
"2S01",0.367,0.000927,106.8,0.799,0.478,6.1,9.27,9996,105,0.283,0.201,2.23,3.21,0.967,"T1",0.364,0.00121,191,0.811,0.475,6.84,12.1,9986,188,0.339,0.189,2.49,3.59,1.08
"2S02",0.477,0.000795,109.8,0.737,0.443,4.89,7.94,9988,107,0.352,0.263,2.07,2.99,0.9,"T1",0.476,0.000976,168.6,0.745,0.444,5.25,9.73,9962,167,0.321,0.255,2.27,3.28,0.988
"2S03",0.439,0.000661,90.8,0.748,0.421,4.72,6.6,9990,89,0.356,0.252,1.89,2.72,0.82,"T1",0.434,0.000869,165.5,0.766,0.426,5.36,8.66,9970,158,0.415,0.234,2.16,3.11,0.937
"2S04",0.19,0.00179,154.5,0.904,0.575,12.6,17.9,9992,150,0.358,0.0956,2.88,4.16,1.25,"T1",0.18,0.00299,286.6,0.928,0.602,18.1,29.9,9993,284,0.375,0.0716,3.4,4.9,1.48
"2W01",0.207,0.00154,135.4,0.882,0.559,10.4,15.4,10001,134,0.281,0.118,2.74,3.95,1.19,"T1",0.201,0.00252,293.7,0.903,0.568,13.8,25.2,10006,292,0.355,0.0969,3.23,4.65,1.4
"2W02",0.32,0.00104,121.8,0.819,0.489,6.7,10.4,9977,119,0.275,0.181,2.34,3.37,1.02,"T1",0.314,0.0014,253.2,0.828,0.477,7.43,13.9,9951,249,0.348,0.172,2.63,3.8,1.14
"2W03",0.222,0.00229,173.3,0.905,0.608,14,22.8,9982,171,0.262,0.0951,3.13,4.51,1.36,"T1",0.18,0.00529,387.2,0.943,0.666,26.6,52.9,9984,385,0.295,0.0569,3.97,5.72,1.72
"2W04",0.314,0.00121,111.6,0.835,0.528,7.64,12,9987,111,0.188,0.165,2.49,3.59,1.08,"T1",0.298,0.002,262.6,0.866,0.538,10.3,20,9968,261,0.317,0.134,2.99,4.32,1.3
"3D01",0.321,0.000878,83.4,0.826,0.505,6.67,8.77,9989,74,0.347,0.174,2.17,3.13,0.943,"T1",0.304,0.00165,151.8,0.869,0.559,10.1,16.5,9978,150,0.311,0.131,2.8,4.04,1.22
"3D03",0.288,0.00125,103.6,0.873,0.555,9.44,12.5,9997,94,0.368,0.127,2.52,3.64,1.1,"T1",0.217,0.00223,178.3,0.916,0.601,15,22.2,9981,174,0.303,0.0838,3.1,4.47,1.35
"3D04",0.244,0.00113,98.1,0.862,0.536,8.37,11.3,9995,92,0.301,0.138,2.42,3.49,1.05,"T1",0.233,0.00157,162.8,0.885,0.544,10.6,15.6,9980,157,0.367,0.115,2.75,3.97,1.19
"3G01",0.181,0.00193,130,0.911,0.609,13.5,19.3,9996,129,0.2,0.089,2.96,4.27,1.29,"T1",0.0859,0.00538,316.7,0.963,0.694,34.7,53.9,10030,313,0.328,0.0369,3.99,5.75,1.73
"3G02",0.137,0.0024,157.9,0.927,0.633,16.7,24.1,10020,152,0.314,0.0729,3.18,4.59,1.38,"T1",0.121,0.00481,247,0.957,0.704,30.9,47.8,9932,243,0.291,0.0425,3.87,5.58,1.68
"3G03",0.17,0.00183,135.6,0.909,0.597,13,18.2,9989,130,0.305,0.0914,2.9,4.19,1.26,"T1",0.108,0.00449,281.6,0.956,0.675,29.2,44.8,9974,280,0.288,0.0437,3.8,5.49,1.65
"3G04",0.182,0.00208,137,0.913,0.618,14.1,20.8,10001,135,0.235,0.0869,3.03,4.38,1.32,"T1",0.122,0.00445,287.4,0.951,0.671,27.2,44.3,9951,283,0.313,0.0485,3.79,5.47,1.65
"3P01",0.523,0.000754,94.5,0.702,0.457,4.42,7.53,9983,83,0.286,0.298,2.02,2.91,0.877,"T1",0.427,0.0015,177.8,0.801,0.525,7.37,15,9976,174,0.314,0.199,2.71,3.9,1.18
"3P02",0.315,0.00114,106.5,0.845,0.522,7.85,11.4,9989,105,0.274,0.155,2.43,3.51,1.06,"T1",0.255,0.0019,192.7,0.891,0.561,11.8,19,9983,190,0.351,0.109,2.94,4.25,1.28
"3P03",0.319,0.00121,109.1,0.849,0.532,8.19,12.1,9976,108,0.229,0.151,2.49,3.6,1.08,"T1",0.251,0.00249,217,0.906,0.598,14.7,24.8,9962,214,0.344,0.0936,3.21,4.63,1.39
"3P04",0.424,0.000617,87.6,0.723,0.408,4.24,6.16,9987,86,0.287,0.277,1.82,2.62,0.789,"T1",0.372,0.00111,175.7,0.79,0.47,6.16,11.1,9974,167,0.423,0.21,2.4,3.47,1.04
"3S01",0.293,0.00093,119.4,0.811,0.474,6.3,9.29,9989,110,0.351,0.189,2.23,3.22,0.968,"T1",0.255,0.00165,211.2,0.851,0.524,8.82,16.4,9954,208,0.34,0.149,2.8,4.04,1.22
"3S02",0.287,0.00132,127.7,0.862,0.536,8.93,13.2,9987,124,0.304,0.138,2.58,3.72,1.12,"T1",0.251,0.00249,256.1,0.896,0.581,13.3,24.8,9968,252,0.352,0.104,3.21,4.63,1.39
"3S03",0.215,0.00145,104.1,0.882,0.578,10.3,14.5,9975,102,0.301,0.118,2.67,3.86,1.16,"T1",0.205,0.00272,194.1,0.921,0.629,16.8,27.1,9960,189,0.337,0.0794,3.3,4.76,1.43
"3S04",0.215,0.00156,149.2,0.881,0.554,10.4,15.6,9985,143,0.368,0.119,2.75,3.97,1.19,"T1",0.195,0.0028,280.9,0.916,0.592,15.9,27.9,9981,277,0.371,0.0839,3.33,4.8,1.45
"3W01",0.331,0.00092,76.1,0.826,0.519,6.82,9.19,9986,72,0.274,0.174,2.22,3.2,0.963,"T1",0.279,0.00158,153.5,0.868,0.551,9.78,15.7,9978,149,0.3,0.132,2.76,3.97,1.2
"3W02",0.226,0.0012,120,0.873,0.527,9.01,12,10002,112,0.354,0.127,2.49,3.59,1.08,"T1",0.221,0.00199,224.8,0.896,0.554,12.2,19.9,10000,222,0.341,0.104,2.99,4.32,1.3
"3W03",0.35,0.00068,65.5,0.785,0.466,5.3,6.8,10009,61,0.387,0.215,1.92,2.77,0.833,"T1",0.303,0.000984,120.7,0.823,0.48,6.75,9.85,10011,117,0.39,0.177,2.29,3.3,0.993
"3W04",0.511,0.000807,127.9,0.711,0.434,4.56,8.05,9982,122,0.39,0.289,2.09,3.01,0.906,"T1",0.337,0.00173,257.7,0.846,0.515,8.96,17.2,9972,251,0.421,0.154,2.85,4.11,1.24
"4D01",0.328,0.000793,87,0.796,0.463,5.67,7.92,9990,87,0.375,0.204,2.07,2.99,0.899,"T1",0.206,0.00129,144,0.868,0.514,8.85,12.9,9991,144,0.379,0.132,2.56,3.69,1.11
"4D02",0.236,0.003,132,0.919,0.696,17.6,30,9989,132,0,0.0809,3.4,4.9,1.48,"T1",0.143,0.0055,227,0.955,0.738,31.2,54.9,9979,227,0,0.0455,4.01,5.78,1.74
"4D03",0.843,0.000201,62.1,0.281,0.188,1.54,2.01,9994,41,0.31,0.719,0.7,1.01,0.304,"T1",0.839,0.000226,81.2,0.291,0.187,1.59,2.26,9986,77,0.41,0.709,0.813,1.17,0.353
"4D04",0.876,0.000178,52,0.228,0.164,1.41,1.78,9989,34,0.343,0.772,0.578,0.834,0.251,"T1",0.874,0.000189,63.8,0.232,0.159,1.43,1.89,9977,55,0.375,0.768,0.636,0.917,0.276
"4G01",0.437,0.000478,49.4,0.691,0.406,3.64,4.78,9992,47,0.229,0.309,1.56,2.26,0.679,"T1",0.42,0.000633,96.6,0.72,0.406,4.21,6.31,9976,94,0.337,0.28,1.84,2.66,0.8
"4G02",0.737,0.00032,70,0.44,0.274,2.1,3.2,10012,70,0,0.56,1.16,1.68,0.505,"T1",0.729,0.000352,109,0.451,0.269,2.16,3.53,10029,109,0,0.549,1.26,1.82,0.547
"4G03",0.471,0.000672,75.3,0.726,0.442,4.48,6.71,9992,74,0.253,0.274,1.9,2.75,0.827,"T1",0.458,0.000957,155.2,0.754,0.449,5.34,9.56,9986,153,0.351,0.246,2.26,3.26,0.98
"4G04",0.344,0.000743,97.3,0.762,0.443,5.03,7.44,10010,93,0.404,0.238,2.01,2.9,0.872,"T1",0.335,0.00125,199.7,0.823,0.48,7.29,12.5,10028,193,0.454,0.177,2.53,3.64,1.1
"4P01",0.61,0.000347,68.9,0.573,0.298,2.65,3.47,9983,65,0.379,0.427,1.24,1.79,0.54,"T1",0.476,0.000613,120.8,0.717,0.38,4.2,6.11,9972,117,0.398,0.283,1.81,2.61,0.786
"4P02",0.918,0.000158,87,0.156,0.115,1.26,1.58,10002,53,0.611,0.844,0.458,0.661,0.199,"T1",0.498,0.000318,140.3,0.578,0.262,2.54,3.18,10005,82,0.651,0.422,1.16,1.67,0.502
"4P03",0.584,0.000406,67.1,0.618,0.354,3.06,4.06,9991,52,0.415,0.382,1.4,2.02,0.608,"T1",0.469,0.000802,104.7,0.748,0.451,5.1,8.01,9982,101,0.373,0.252,2.08,3,0.904
"4P04",0.568,0.00038,68.9,0.604,0.319,2.87,3.79,9992,65,0.424,0.396,1.33,1.92,0.579,"T1",0.513,0.000596,110,0.683,0.381,3.85,5.94,9980,108,0.367,0.317,1.78,2.57,0.774
"4S01",0.821,0.000181,37.8,0.301,0.168,1.53,1.81,9988,34,0.314,0.699,0.591,0.853,0.257,"T1",0.784,0.000221,60.1,0.361,0.196,1.73,2.2,9979,56,0.404,0.639,0.791,1.14,0.343
"4S02",0.487,0.00055,39,0.663,0.465,3.52,5.5,9995,39,0,0.337,1.71,2.46,0.741,"T1",0.484,0.000572,44,0.666,0.461,3.57,5.71,9996,44,0,0.334,1.74,2.51,0.757
"4S03",0.599,0.000289,96.6,0.524,0.236,2.25,2.89,9994,89,0.389,0.476,1.06,1.53,0.461,"T1",0.362,0.000522,147.8,0.722,0.334,3.92,5.22,9990,140,0.475,0.278,1.65,2.38,0.718
"4S04",0.483,0.000403,74.2,0.631,0.353,3.02,4.03,9989,52,0.377,0.369,1.39,2.01,0.605,"T1",0.27,0.000734,92.5,0.802,0.449,5.64,7.32,9979,84,0.388,0.198,1.99,2.87,0.865
"4W01",0.509,0.000547,100.5,0.69,0.387,3.84,5.46,9994,80,0.395,0.31,1.7,2.45,0.737,"T1",0.504,0.000727,145.6,0.712,0.399,4.4,7.25,9968,143,0.382,0.288,1.98,2.86,0.86
"4W02",0.974,0.000121,48.2,0.0508,0.0504,1.08,1.21,10003,46,0.404,0.949,0.193,0.278,0.0838,"T1",0.974,0.000123,68.3,0.0522,0.0492,1.08,1.23,10005,67,0.426,0.948,0.207,0.298,0.0898
"4W04",0.671,0.000393,70.4,0.535,0.333,2.62,3.93,9989,61,0.419,0.465,1.37,1.97,0.594,"T1",0.634,0.000546,108,0.585,0.364,3.09,5.45,9981,105,0.368,0.415,1.7,2.45,0.736
"5D01",0.747,0.000288,59.1,0.428,0.291,2.04,2.88,9996,38,0.333,0.572,1.06,1.53,0.459,"T1",0.71,0.000375,86.2,0.482,0.299,2.34,3.75,9997,83,0.393,0.518,1.32,1.91,0.574
"5D02",0.871,0.000191,35.5,0.238,0.188,1.45,1.91,9992,31,0.281,0.762,0.646,0.931,0.28,"T1",0.864,0.000208,57.2,0.251,0.182,1.49,2.08,9984,55,0.375,0.749,0.73,1.05,0.317
"5D03",0.36,0.000412,53.1,0.703,0.376,3.55,4.11,9990,43,0.409,0.297,1.41,2.04,0.614,"T1",0.304,0.000565,82.9,0.757,0.398,4.47,5.64,9982,77,0.397,0.243,1.73,2.5,0.751
"5D04",0.78,0.00023,33.7,0.375,0.24,1.8,2.3,9994,32,0.333,0.625,0.832,1.2,0.361,"T1",0.764,0.000289,60.5,0.404,0.266,1.95,2.88,9991,54,0.327,0.596,1.06,1.53,0.46
"5G01",0.361,0.00121,114.8,0.83,0.529,7.64,12.1,9986,111,0.295,0.17,2.49,3.6,1.08,"T1",0.194,0.0028,243,0.922,0.608,16.8,27.9,9967,240,0.336,0.0776,3.33,4.8,1.45
"5G02",0.277,0.00115,92.6,0.852,0.543,8.07,11.5,9994,90,0.275,0.148,2.44,3.53,1.06,"T1",0.163,0.00201,196.8,0.904,0.572,12.9,20,9994,189,0.395,0.0956,3,4.32,1.3
"5G03",0.258,0.00107,59.8,0.862,0.588,8.34,10.7,9989,56,0.193,0.138,2.37,3.41,1.03,"T1",0.225,0.0014,104.5,0.886,0.571,10.3,13.9,9981,101,0.284,0.114,2.63,3.8,1.14
"5G04",0.413,0.00095,87.7,0.789,0.511,6.11,9.51,10007,82,0.325,0.211,2.25,3.25,0.978,"T1",0.28,0.00153,169.8,0.875,0.534,10.1,15.3,10023,166,0.413,0.125,2.73,3.94,1.18
"5P01",0.313,0.000857,61.9,0.836,0.527,6.97,8.56,9989,59,0.283,0.164,2.15,3.1,0.932,"T1",0.274,0.00121,105.8,0.867,0.541,8.95,12.1,9976,100,0.337,0.133,2.49,3.59,1.08
"5P02",0.502,0.000569,50,0.702,0.447,4.07,5.69,9996,49,0.26,0.298,1.74,2.51,0.755,"T1",0.293,0.00119,92.7,0.856,0.548,8.42,11.9,9981,92,0.226,0.144,2.48,3.57,1.08
"5P03",0.443,0.000486,49,0.702,0.411,3.8,4.86,9993,47,0.25,0.298,1.58,2.28,0.687,"T1",0.358,0.000735,94.6,0.773,0.449,5.21,7.34,9985,85,0.407,0.227,1.99,2.88,0.866
"5P04",0.429,0.00049,72.3,0.709,0.378,3.81,4.9,9993,67,0.382,0.291,1.59,2.29,0.69,"T1",0.233,0.00105,124.9,0.841,0.491,7.32,10.5,9991,121,0.32,0.159,2.36,3.4,1.02
"5S01",0.62,0.000395,116.5,0.575,0.317,2.77,3.95,9985,76,0.468,0.425,1.37,1.98,0.596,"T1",0.568,0.000646,130.6,0.653,0.386,3.72,6.44,9970,125,0.397,0.347,1.86,2.69,0.809
"5S02",0.547,0.000583,102.4,0.664,0.385,3.69,5.83,9992,97,0.337,0.336,1.76,2.54,0.765,"T1",0.505,0.000989,172.7,0.724,0.446,4.97,9.86,9963,169,0.335,0.276,2.29,3.3,0.994
"5S03",0.338,0.000517,41.4,0.754,0.452,4.42,5.17,9992,38,0.333,0.246,1.64,2.37,0.713,"T1",0.293,0.000776,78.4,0.806,0.479,5.9,7.75,9986,72,0.342,0.194,2.05,2.95,0.889
"5S04",0.366,0.000538,62.8,0.737,0.411,4.25,5.38,9989,60,0.311,0.263,1.68,2.43,0.73,"T1",0.271,0.00123,119.4,0.846,0.527,8.06,12.3,9987,117,0.297,0.154,2.51,3.62,1.09
"5W01",0.245,0.000841,73,0.832,0.51,6.65,8.4,9985,65,0.303,0.168,2.13,3.07,0.924,"T1",0.229,0.00158,131.1,0.891,0.57,11.1,15.8,9975,127,0.289,0.109,2.76,3.98,1.2
"5W03",0.274,0.000689,69.2,0.817,0.462,5.89,6.89,9997,65,0.439,0.183,1.93,2.78,0.838,"T1",0.262,0.00108,113.2,0.85,0.511,7.76,10.7,9990,104,0.41,0.15,2.37,3.43,1.03
"5W04",0.254,0.000765,69.8,0.828,0.482,6.34,7.64,9986,68,0.333,0.172,2.03,2.93,0.883,"T1",0.232,0.00131,122.7,0.882,0.539,9.79,13.1,9979,118,0.361,0.118,2.57,3.71,1.12
"1D011",0.228,0.00182,147.3,0.894,0.588,11.9,18.2,9996,139,0.35,0.106,2.9,4.18,1.26,"T2",0.174,0.00402,407.5,0.93,0.616,20.3,40.2,10006,404,0.348,0.07,3.69,5.33,1.6
"1D021",0.572,0.000405,43,0.622,0.393,3.08,4.05,9988,35,0.333,0.378,1.4,2.02,0.607,"T2",0.431,0.000902,116.5,0.773,0.468,5.63,9,9970,109,0.282,0.227,2.2,3.17,0.954
"1D031",0.395,0.000723,75,0.769,0.47,5.14,7.23,9987,67,0.353,0.231,1.98,2.85,0.859,"T2",0.264,0.00215,210,0.877,0.576,11.3,21.4,9972,205,0.291,0.123,3.06,4.42,1.33
"1D041",0.328,0.000973,114.5,0.795,0.501,6.12,9.73,9992,94,0.337,0.205,2.27,3.28,0.988,"T2",0.31,0.00219,296.9,0.848,0.542,9.55,21.8,9965,294,0.295,0.152,3.08,4.44,1.34
"1G01",0.731,0.000311,58,0.447,0.285,2.12,3.1,9991,53,0.352,0.553,1.13,1.63,0.492,"T2",0.376,0.00138,177.2,0.814,0.508,7.27,13.7,9972,174,0.303,0.186,2.62,3.78,1.14
"1G021",0.452,0.000528,51.5,0.705,0.432,3.92,5.27,9996,47,0.312,0.295,1.66,2.4,0.722,"T2",0.273,0.00159,155,0.872,0.551,9.89,15.9,9983,152,0.288,0.128,2.77,3.99,1.2
"1G031",0.507,0.000379,54.7,0.613,0.339,2.87,3.79,9996,51,0.365,0.387,1.33,1.92,0.578,"T2",0.297,0.00136,166.6,0.839,0.514,7.92,13.6,10007,160,0.36,0.161,2.61,3.76,1.13
"1G041",0.507,0.000417,50,0.657,0.365,3.24,4.17,10004,50,0,0.343,1.43,2.06,0.62,"T2",0.339,0.000909,119,0.808,0.462,6.15,9.1,10010,119,0,0.192,2.21,3.19,0.959
"1P011",0.307,0.000896,99.4,0.818,0.48,6.4,8.94,9979,96,0.268,0.182,2.19,3.16,0.951,"T2",0.154,0.00235,221.4,0.922,0.587,15.5,23.4,9953,216,0.332,0.0783,3.15,4.55,1.37
"1P021",0.688,0.000275,24.5,0.491,0.338,2.22,2.75,9996,20,0.286,0.509,1.01,1.46,0.44,"T2",0.552,0.000542,79.4,0.657,0.392,3.57,5.41,9993,74,0.307,0.343,1.69,2.44,0.734
"1P031",0.442,0.000337,29.5,0.632,0.429,2.9,3.37,9999,17,0.278,0.368,1.22,1.75,0.528,"T2",0.551,0.000423,66.5,0.627,0.35,3.08,4.23,9997,62,0.238,0.373,1.44,2.08,0.627
"1P041",0.656,2e-04,22.5,0.456,0.232,1.89,2,9986,20,0.429,0.544,0.694,1,0.301,"T2",0.633,0.000317,50.9,0.537,0.312,2.43,3.16,9976,40,0.341,0.463,1.15,1.66,0.5
"1S011",0.652,0.000332,47.3,0.543,0.317,2.53,3.32,10002,44,0.4,0.457,1.2,1.73,0.521,"T2",0.569,0.000616,87.8,0.653,0.411,3.69,6.14,9976,83,0.333,0.347,1.81,2.62,0.788
