"","berger_parker","buzas_gibson","chao1","dominance","equitability","jost","jost1","reads","richness","robbins","simpson","shannon_e","shannon_2","shannon_10","Timepoint","zOTU_berger_parker","zOTU_buzas_gibson","zOTU_chao1","zOTU_dominance","zOTU_equitability","zOTU_jost","zOTU_jost1","zOTU_reads","zOTU_richness","zOTU_robbins","zOTU_simpson","zOTU_shannon_e","zOTU_shannon_2","zOTU_shannon_10"
"3P03",0.398,0.00133,136.4,0.817,0.527,7.6,13.2,9986,135,0.324,0.183,2.58,3.73,1.12,"T1",0.374,0.0017,179.4,0.838,0.548,8.94,17,9986,175,0.352,0.162,2.83,4.09,1.23
"3S01",0.242,0.0012,138.9,0.855,0.506,8.2,11.9,9989,135,0.368,0.145,2.48,3.58,1.08,"T1",0.241,0.00142,179.4,0.861,0.513,8.91,14.2,9987,177,0.343,0.139,2.65,3.83,1.15
"3S02",0.281,0.00139,131.7,0.852,0.541,8.69,13.9,9979,129,0.285,0.148,2.63,3.79,1.14,"T1",0.279,0.00165,173.4,0.859,0.545,9.45,16.5,9972,171,0.308,0.141,2.8,4.04,1.22
"3S03",0.24,0.002,143,0.906,0.606,13.6,20,9992,140,0.277,0.094,2.99,4.32,1.3,"T1",0.235,0.00263,206.7,0.914,0.617,15.9,26.3,9990,200,0.328,0.0856,3.27,4.72,1.42
"3S04",0.287,0.00115,123.3,0.839,0.513,7.61,11.5,9978,116,0.359,0.161,2.44,3.52,1.06,"T1",0.283,0.00152,159,0.855,0.541,9.03,15.2,9974,152,0.366,0.145,2.72,3.92,1.18
"3W01",0.407,0.00075,100.5,0.742,0.441,4.73,7.49,9988,96,0.278,0.258,2.01,2.91,0.875,"T1",0.398,0.000824,130,0.746,0.434,4.87,8.23,9987,128,0.295,0.254,2.11,3.04,0.915
"3W02",0.316,0.000975,112.3,0.823,0.493,6.8,9.74,9995,101,0.373,0.177,2.28,3.28,0.989,"T1",0.305,0.00118,143.1,0.833,0.502,7.44,11.8,10000,138,0.345,0.167,2.47,3.57,1.07
"3W03",0.554,0.000502,69.7,0.649,0.384,3.44,5.02,9991,67,0.309,0.351,1.61,2.33,0.7,"T1",0.523,0.000618,98.5,0.683,0.4,3.9,6.17,9990,95,0.302,0.317,1.82,2.63,0.79
"3W04",0.264,0.00129,119.3,0.856,0.535,8.52,12.9,9983,118,0.261,0.144,2.55,3.69,1.11,"T1",0.25,0.00147,141.2,0.863,0.544,9.16,14.7,9979,140,0.234,0.137,2.69,3.88,1.17
"4D01",0.284,0.00114,117.2,0.847,0.515,7.86,11.4,10001,114,0.33,0.153,2.44,3.52,1.06,"T1",0.257,0.00145,140.9,0.866,0.541,9.23,14.5,9981,139,0.236,0.134,2.67,3.85,1.16
"4D02",0.291,0.00104,97.5,0.839,0.515,7.4,10.4,9998,94,0.305,0.161,2.34,3.38,1.02,"T1",0.281,0.00137,124,0.86,0.543,8.88,13.7,9996,123,0.25,0.14,2.62,3.77,1.14
"4D03",0.444,0.000485,72.9,0.671,0.374,3.47,4.84,9991,68,0.319,0.329,1.58,2.28,0.685,"T1",0.429,0.000596,98.5,0.689,0.39,3.79,5.95,9994,97,0.214,0.311,1.78,2.57,0.775
