Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
4W01,0.517,0.000725,133.3,0.702,0.41,4.3,7.24,9988,125,0.389,0.298,1.98,2.86,0.86
4W02,0.468,0.000855,124.7,0.735,0.45,4.87,8.54,9984,118,0.277,0.265,2.14,3.09,0.931
4W03,0.311,0.00129,160.9,0.846,0.505,8.14,12.9,9991,159,0.269,0.154,2.56,3.69,1.11
4W04,0.28,0.00124,157.7,0.847,0.499,7.98,12.4,9989,154,0.316,0.153,2.52,3.63,1.09
5D01,0.691,0.000347,74.8,0.49,0.293,2.29,3.46,9986,69,0.243,0.51,1.24,1.79,0.54
5D02,0.541,0.000751,96,0.686,0.45,4.23,7.51,10000,88,0.315,0.314,2.02,2.91,0.876
5D03,0.559,0.000559,82.4,0.647,0.393,3.5,5.58,9984,79,0.263,0.353,1.72,2.48,0.747
5D04,0.711,0.000355,78,0.474,0.292,2.26,3.54,9984,76,0.286,0.526,1.27,1.83,0.549
5G01,0.254,0.0014,109,0.883,0.564,10.2,13.9,9987,107,0.296,0.117,2.63,3.8,1.14
5G02,0.542,0.000829,136.7,0.684,0.432,4.27,8.28,9990,134,0.326,0.316,2.11,3.05,0.918
5G03,0.214,0.00165,113.5,0.893,0.594,11.4,16.5,9999,112,0.248,0.107,2.8,4.04,1.22
5P01,0.437,0.00108,123,0.782,0.497,6.2,10.7,9980,119,0.283,0.218,2.37,3.43,1.03
5P02,0.28,0.00129,129.4,0.855,0.533,8.49,12.8,9982,120,0.322,0.145,2.55,3.68,1.11
5P03,0.302,0.00142,157.3,0.856,0.525,8.83,14.1,9990,156,0.299,0.144,2.65,3.82,1.15
5P04,0.117,0.00247,175.9,0.935,0.625,18,24.7,9994,170,0.38,0.0653,3.21,4.63,1.39
5S01,0.242,0.00144,137.1,0.881,0.548,10.1,14.4,9980,130,0.374,0.119,2.67,3.85,1.16
5S02,0.189,0.00233,158.5,0.925,0.624,16.5,23.3,9990,155,0.34,0.0749,3.15,4.54,1.37
5S03,0.377,0.00122,132.6,0.823,0.514,7.5,12.2,9992,131,0.295,0.177,2.5,3.61,1.09
5S04,0.307,0.00176,161.6,0.875,0.569,10.9,17.6,9989,155,0.327,0.125,2.87,4.14,1.25
5W01,0.459,0.000722,132.5,0.714,0.407,4.32,7.21,9992,128,0.326,0.286,1.98,2.85,0.858
5W02,0.392,0.00107,133.1,0.794,0.487,6.33,10.7,9992,130,0.344,0.206,2.37,3.42,1.03
5W03,0.422,0.000866,106.2,0.767,0.466,5.42,8.64,9982,102,0.282,0.233,2.16,3.11,0.937
5W04,0.4,0.00073,116.5,0.73,0.423,4.49,7.29,9992,110,0.324,0.27,1.99,2.87,0.863
ZD01,0.308,0.00212,185.6,0.868,0.585,10.9,21.2,10012,185,0.183,0.132,3.06,4.41,1.33
ZD02,0.214,0.00248,191.9,0.902,0.613,14.1,24.8,10010,189,0.253,0.0976,3.21,4.63,1.39
ZD03,0.19,0.00258,183.5,0.914,0.624,15.6,25.8,9998,183,0.185,0.0858,3.25,4.69,1.41
ZD04,0.219,0.00251,196.9,0.896,0.612,13.6,25.1,10022,194,0.221,0.104,3.22,4.65,1.4
ZG01,0.379,0.000876,128.5,0.797,0.449,5.97,8.75,9987,125,0.397,0.203,2.17,3.13,0.942
ZG02,0.407,0.000854,146.1,0.777,0.431,5.5,8.53,9985,144,0.338,0.223,2.14,3.09,0.931
ZG03,0.395,0.000875,143.7,0.785,0.437,5.69,8.73,9985,142,0.308,0.215,2.17,3.13,0.941
ZG04,0.398,0.000877,139.7,0.785,0.44,5.69,8.75,9986,138,0.302,0.215,2.17,3.13,0.942
ZP01,0.145,0.00515,325.6,0.951,0.682,29.1,51.7,10029,324,0.237,0.0485,3.94,5.69,1.71
ZP02,0.198,0.0062,446.1,0.942,0.678,28.1,62.3,10054,445,0.244,0.058,4.13,5.96,1.79
ZP03,0.198,0.00455,411.7,0.926,0.635,20.7,45.4,9987,409,0.3,0.0742,3.82,5.51,1.66
ZP04,0.191,0.0049,371.8,0.936,0.658,23.7,48.9,9966,370,0.259,0.0643,3.89,5.61,1.69
ZS01,0.118,0.00652,399,0.958,0.696,34.6,64.5,9900,399,0.295,0.042,4.17,6.01,1.81
ZS02,0.176,0.00538,369,0.944,0.674,26.7,53.7,9976,369,0.297,0.0562,3.98,5.75,1.73
ZS03,0.171,0.0059,431.3,0.943,0.672,27.2,58.7,9955,430,0.255,0.0566,4.07,5.88,1.77
ZS04,0.157,0.00775,486.9,0.959,0.704,38.2,77.9,10059,486,0.228,0.0414,4.36,6.28,1.89
ZW01,0.0978,0.00459,220.9,0.96,0.709,31,45.7,9941,220,0.154,0.0399,3.82,5.51,1.66
ZW02,0.109,0.00403,272.4,0.95,0.662,25.8,40.4,10011,266,0.296,0.0496,3.7,5.34,1.61
ZW03,0.0904,0.005,274.4,0.962,0.697,33.1,50.1,10019,274,0.182,0.0376,3.91,5.65,1.7
ZW04,0.149,0.00357,266.2,0.938,0.642,21.5,35.8,10019,264,0.294,0.0615,3.58,5.16,1.55
