Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
ZP02,0.185,0.00743,650.5,0.948,0.668,32,75.3,10145,647,0.41,0.052,4.32,6.24,1.88
ZP03,0.186,0.00531,540.6,0.932,0.632,23.1,53,9983,536,0.43,0.0679,3.97,5.73,1.72
ZP04,0.184,0.00546,466.8,0.939,0.651,25.4,54.2,9936,463,0.362,0.0608,3.99,5.76,1.73
ZS01,0.116,0.00722,488,0.96,0.69,36.9,71.5,9908,488,0.376,0.0398,4.27,6.16,1.85
ZS02,0.169,0.006,466,0.947,0.666,28.6,59.7,9944,466,0.373,0.0531,4.09,5.9,1.78
ZS03,0.164,0.00656,557.2,0.947,0.662,29.1,65.3,9958,554,0.373,0.0534,4.18,6.03,1.82
ZS04,0.15,0.00882,712.1,0.961,0.685,40.7,89.5,10155,709,0.413,0.0394,4.49,6.48,1.95
ZW01,0.0967,0.00488,276.2,0.961,0.692,32.2,48.4,9924,273,0.285,0.0389,3.88,5.6,1.68
ZW02,0.108,0.00437,344.5,0.952,0.651,27.2,43.8,10029,332,0.405,0.0478,3.78,5.45,1.64
ZW03,0.0893,0.00554,360.9,0.965,0.683,35.8,55.6,10040,360,0.302,0.0353,4.02,5.8,1.75
ZW04,0.148,0.00379,330.8,0.94,0.629,22.1,38.1,10043,326,0.407,0.0604,3.64,5.25,1.58
