Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
1W01,0.335,0.00138,149.3,0.847,0.526,8.47,13.8,9995,148,0.215,0.153,2.63,3.79,1.14
1W02,0.203,0.00153,137.2,0.889,0.558,10.7,15.3,9987,132,0.316,0.111,2.73,3.93,1.18
1W03,0.48,0.000695,107.3,0.714,0.418,4.32,6.95,9994,103,0.337,0.286,1.94,2.8,0.842
1W04,0.152,0.00215,187.4,0.916,0.589,14.3,21.5,9990,184,0.281,0.0843,3.07,4.43,1.33
2C01,0.418,0.000816,64.9,0.773,0.51,5.49,8.15,9992,61,0.226,0.227,2.1,3.03,0.911
2C02,0.208,0.00123,124.3,0.863,0.532,8.56,12.3,10008,113,0.333,0.137,2.51,3.62,1.09
2C03,0.334,0.000898,57.4,0.825,0.548,6.73,8.98,9999,55,0.196,0.175,2.2,3.17,0.953
2C04,0.17,0.00164,92.3,0.9,0.62,12,16.4,9990,91,0.228,0.0997,2.8,4.03,1.21
2D01,0.494,0.000977,105.4,0.736,0.491,5.25,9.75,9988,103,0.231,0.264,2.28,3.29,0.989
2D02,0.166,0.00238,157.6,0.925,0.627,16.4,23.8,9984,157,0.215,0.0746,3.17,4.57,1.38
2D04,0.187,0.00208,123.6,0.916,0.634,14.5,20.8,9984,120,0.264,0.0845,3.04,4.38,1.32
2G01,0.565,0.000752,117,0.665,0.428,4.01,7.52,9997,111,0.339,0.335,2.02,2.91,0.876
2G02,0.486,0.00097,137.1,0.739,0.466,5.19,9.69,9992,131,0.318,0.261,2.27,3.28,0.986
2G03,0.11,0.00307,144.6,0.948,0.691,23.1,30.7,9999,142,0.287,0.0518,3.42,4.94,1.49
2G04,0.827,0.000245,74.5,0.312,0.218,1.66,2.45,9990,61,0.419,0.688,0.895,1.29,0.389
2P01,0.259,0.00143,116,0.883,0.564,10.3,14.3,10001,111,0.339,0.117,2.66,3.84,1.15
2P02,0.322,0.00101,93.5,0.828,0.51,7.04,10.1,9992,93,0.202,0.172,2.31,3.33,1
2P03,0.131,0.00203,91.9,0.927,0.672,15.7,20.3,9980,88,0.157,0.0733,3.01,4.34,1.31
2P04,0.614,0.000615,91.1,0.61,0.406,3.37,6.14,9981,87,0.261,0.39,1.82,2.62,0.788
2S01,0.239,0.00143,119.6,0.874,0.564,9.82,14.3,10001,112,0.381,0.126,2.66,3.84,1.16
2S02,0.241,0.00195,127.2,0.902,0.614,13,19.5,9984,126,0.173,0.0984,2.97,4.29,1.29
2S03,0.135,0.00231,142.7,0.927,0.634,16.5,23.1,9974,141,0.232,0.0728,3.14,4.53,1.36
2S04,0.136,0.00225,101,0.932,0.678,17.3,22.5,9984,99,0.24,0.0676,3.11,4.49,1.35
2W01,0.363,0.00141,163.6,0.827,0.525,7.88,14.1,10017,155,0.372,0.173,2.65,3.82,1.15
2W02,0.256,0.00227,154.3,0.902,0.622,13.9,22.7,9988,151,0.27,0.098,3.12,4.5,1.36
2W03,0.431,0.00135,113,0.796,0.551,7.11,13.6,10010,113,0,0.204,2.61,3.76,1.13
2W04,0.295,0.00194,160.1,0.882,0.587,11.7,19.4,9987,156,0.363,0.118,2.96,4.28,1.29
3C01,0.2,0.0017,147.3,0.887,0.569,10.9,17,9983,145,0.267,0.113,2.83,4.09,1.23
3C02,0.156,0.00207,112.4,0.923,0.644,15.4,20.7,9998,110,0.198,0.0767,3.03,4.37,1.32
3C03,0.622,0.000574,76.5,0.595,0.406,3.18,5.75,10010,74,0.12,0.405,1.75,2.52,0.759
3D01,0.358,0.000827,140.6,0.756,0.429,5.02,8.28,10005,138,0.36,0.244,2.11,3.05,0.918
3D02,0.409,0.00083,108.5,0.752,0.453,5.03,8.29,9990,107,0.222,0.248,2.12,3.05,0.919
3D03,0.332,0.000954,134.9,0.803,0.462,6.17,9.54,9995,132,0.383,0.197,2.26,3.25,0.979
3D04,0.432,0.000697,88.4,0.746,0.441,4.73,6.95,9980,81,0.329,0.254,1.94,2.8,0.842
3G01,0.228,0.00146,115.6,0.879,0.566,10,14.6,9995,114,0.217,0.121,2.68,3.87,1.16
3G02,0.421,0.00131,157.5,0.798,0.518,6.96,13.1,9995,144,0.359,0.202,2.57,3.71,1.12
3G03,0.613,0.000614,131.5,0.611,0.388,3.36,6.13,9989,107,0.389,0.389,1.81,2.62,0.788
3G04,0.65,0.000522,93.6,0.561,0.364,2.89,5.21,9979,93,0.181,0.439,1.65,2.38,0.717
3P01,0.175,0.00229,203.1,0.914,0.595,14.6,22.9,9999,193,0.371,0.0861,3.13,4.51,1.36
3P02,0.349,0.00158,208.9,0.842,0.523,8.6,15.7,9991,194,0.364,0.158,2.76,3.98,1.2
3P03,0.133,0.00306,200.4,0.944,0.647,21.7,30.6,10006,197,0.328,0.0558,3.42,4.93,1.49
3P04,0.191,0.00236,151.9,0.921,0.629,16,23.5,9983,151,0.224,0.0787,3.16,4.56,1.37
3S01,0.218,0.00221,227.2,0.903,0.576,13.5,22.2,10008,216,0.415,0.0967,3.1,4.47,1.35
3S02,0.216,0.00196,181,0.897,0.581,12.5,19.6,9984,168,0.331,0.103,2.98,4.29,1.29
3S03,0.366,0.00106,140.2,0.805,0.477,6.45,10.5,9984,139,0.293,0.195,2.35,3.4,1.02
3W01,0.313,0.000957,126.1,0.807,0.469,6.21,9.56,9988,123,0.282,0.193,2.26,3.26,0.98
3W02,0.516,0.000808,134,0.698,0.429,4.34,8.06,9978,129,0.315,0.302,2.09,3.01,0.906
3W03,0.589,0.000657,288.2,0.635,0.398,3.59,6.57,10011,114,0.487,0.365,1.88,2.72,0.818
3W04,0.252,0.00128,153.3,0.86,0.512,8.56,12.8,9987,145,0.336,0.14,2.55,3.68,1.11
4C01,0.515,0.000676,75.8,0.698,0.444,4.21,6.76,9993,74,0.227,0.302,1.91,2.76,0.83
4C02,0.151,0.00152,94.3,0.907,0.607,12.1,15.2,9995,89,0.289,0.093,2.72,3.93,1.18
4C03,0.732,0.000315,52.9,0.45,0.29,2.14,3.15,9995,52,0.283,0.55,1.15,1.65,0.498
4C04,0.491,0.000469,68,0.659,0.371,3.36,4.68,9995,64,0.262,0.341,1.54,2.23,0.671
4D01,0.321,0.000823,106.2,0.791,0.453,5.59,8.23,9998,105,0.236,0.209,2.11,3.04,0.916
4D02,0.406,0.00127,140.7,0.805,0.515,7.04,12.7,9992,140,0.213,0.195,2.54,3.67,1.1
4D03,0.454,0.00103,143.1,0.75,0.471,5.36,10.3,9997,142,0.217,0.25,2.34,3.37,1.01
4D04,0.604,0.000651,147.8,0.615,0.384,3.38,6.51,9999,132,0.338,0.385,1.87,2.7,0.813
4G01,0.48,0.000911,119,0.741,0.465,5.15,9.1,9991,115,0.267,0.259,2.21,3.19,0.959
4G02,0.192,0.00161,107.9,0.898,0.6,11.7,16,9987,102,0.233,0.102,2.78,4,1.21
4G03,0.659,0.000541,104.8,0.553,0.363,2.87,5.4,9990,104,0.171,0.447,1.69,2.43,0.732
4G04,0.8,0.000292,73.1,0.355,0.25,1.81,2.92,9987,72,0.164,0.645,1.07,1.54,0.465
4P01,0.498,0.000988,148.9,0.728,0.459,5.04,9.86,9978,147,0.277,0.272,2.29,3.3,0.994
4P02,0.49,0.000705,120.3,0.7,0.409,4.16,7.04,9983,118,0.286,0.3,1.95,2.82,0.847
4P03,0.82,0.000266,79.7,0.325,0.225,1.71,2.66,9987,78,0.278,0.675,0.979,1.41,0.425
4P04,0.442,0.000803,135.7,0.742,0.425,4.83,8.02,9989,134,0.296,0.258,2.08,3,0.904
4S01,0.598,0.000627,132.7,0.623,0.376,3.43,6.26,9987,131,0.295,0.377,1.83,2.65,0.796
4S02,0.554,0.000532,141,0.628,0.345,3.23,5.32,9991,127,0.414,0.372,1.67,2.41,0.726
4S03,0.733,0.000427,115.6,0.458,0.307,2.3,4.27,9998,113,0.298,0.542,1.45,2.1,0.631
4S04,0.808,0.000291,97.5,0.343,0.235,1.78,2.91,9983,94,0.305,0.657,1.07,1.54,0.464
4W01,0.574,0.000536,115.5,0.634,0.356,3.35,5.35,9980,111,0.375,0.366,1.68,2.42,0.729
4W02,0.346,0.000922,162.5,0.77,0.439,5.42,9.2,9980,156,0.344,0.23,2.22,3.2,0.964
4W03,0.446,0.000601,99.4,0.69,0.391,3.83,6,9981,98,0.253,0.31,1.79,2.59,0.778
4W04,0.453,0.000815,111.5,0.748,0.452,5.04,8.13,9983,103,0.317,0.252,2.1,3.02,0.91
5C01,0.67,0.000431,55.4,0.54,0.37,2.71,4.31,9989,52,0.245,0.46,1.46,2.11,0.634
5C02,0.432,0.000881,88.7,0.775,0.488,5.68,8.8,9990,86,0.241,0.225,2.17,3.14,0.944
5C03,0.257,0.00158,126.3,0.89,0.596,11.3,15.8,10006,103,0.394,0.11,2.76,3.98,1.2
5C04,0.438,0.000437,75.6,0.662,0.344,3.28,4.37,9997,73,0.311,0.338,1.47,2.13,0.641
5D01,0.58,0.00054,104,0.629,0.378,3.35,5.4,9991,86,0.345,0.371,1.69,2.43,0.732
5D02,0.664,0.000495,98.6,0.545,0.354,2.78,4.95,9991,91,0.38,0.455,1.6,2.31,0.694
5D03,0.624,0.000489,93.7,0.578,0.35,2.91,4.88,9990,93,0.202,0.422,1.59,2.29,0.688
5D04,0.529,0.000942,149.2,0.706,0.45,4.75,9.41,9990,146,0.327,0.294,2.24,3.23,0.974
5G01,0.46,0.00091,103.8,0.757,0.478,5.43,9.09,9992,101,0.324,0.243,2.21,3.18,0.959
5G02,0.328,0.00129,135.3,0.842,0.524,8.08,12.8,9985,130,0.374,0.158,2.55,3.68,1.11
5G03,0.463,0.001,108.5,0.763,0.493,5.74,10,9988,107,0.259,0.237,2.3,3.32,1
5G04,0.511,0.000723,97,0.703,0.435,4.31,7.22,9986,94,0.284,0.297,1.98,2.85,0.858
5P02,0.5,0.00087,120,0.725,0.453,4.87,8.69,9987,118,0.286,0.275,2.16,3.12,0.939
5P03,0.17,0.00187,160.7,0.908,0.579,13,18.6,9993,156,0.389,0.0924,2.93,4.22,1.27
5P04,0.214,0.00163,157.7,0.891,0.555,11.1,16.3,9986,153,0.318,0.109,2.79,4.03,1.21
5S01,0.131,0.00227,154.9,0.93,0.621,16.8,22.7,9976,152,0.314,0.0697,3.12,4.5,1.36
5S02,0.261,0.00176,165.6,0.89,0.563,11.5,17.6,9999,164,0.303,0.11,2.87,4.14,1.25
5S04,0.21,0.002,169.2,0.907,0.586,13.4,20,9989,166,0.335,0.0932,3,4.32,1.3
5W01,0.403,0.000615,95.2,0.721,0.402,4.16,6.13,9977,91,0.283,0.279,1.81,2.62,0.788
5W02,0.307,0.000962,116.7,0.806,0.486,6.23,9.61,9987,105,0.274,0.194,2.26,3.26,0.983
5W03,0.543,0.000477,91.5,0.644,0.349,3.28,4.76,9985,87,0.307,0.356,1.56,2.25,0.678
5W04,0.402,0.000658,130.3,0.727,0.389,4.28,6.57,9985,127,0.359,0.273,1.88,2.72,0.818
