"","ZD01","ZD02","ZD03","ZD04","ZG01","ZG02","ZG03","ZG04","ZP01","ZP02","ZP03","ZP04","ZS01","ZS02","ZS03","ZS04","ZW01","ZW02","ZW03","ZW04","Consensus.Lineage"
"Otu1790",0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae"
"Otu1137",0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__"
"Otu1684",0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria"
"Otu1166",1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__"
"Otu984",0,0,0,0,0,1,0,1,13,0,7,12,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes"
"Otu561",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu738",1,0,0,0,2,0,1,0,0,4,1,0,1,2,0,1,0,0,1,0,"k__Bacteria; p__Cyanobacteria; c__ML635J-21; o__; f__; g__; s__"
"Otu2460",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__[Roseiflexales]; f__[Kouleothrixaceae]; g__; s__"
"Otu1391",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__"
"Otu1075",0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Olivibacter; s__"
"Otu3019",1,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria"
"Otu579",0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__"
"Otu862",0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__"
"Otu1070",0,0,0,0,0,0,0,0,3,2,4,15,0,1,0,2,0,1,0,1,"k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__; s__"
"Otu3137",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__[Roseiflexales]; f__; g__; s__"
"Otu1560",1,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__"
"Otu1308",0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae"
"Otu1673",0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
"Otu1960",0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,0,0,0,0,"k__Bacteria; p__Proteobacteria"
