"","ZD01","ZD02","ZD03","ZD04","ZG01","ZG02","ZG03","ZG04","ZP01","ZP02","ZP03","ZP04","ZS01","ZS02","ZS03","ZS04","ZW01","ZW02","ZW03","ZW04","Consensus.Lineage"
"Otu525",3,3,0,3,2,3,5,2,13,13,3,20,5,2,4,6,1,0,1,2,"k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__; s__"
"Otu706",9,5,9,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,"k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Ellin506; s__"
"Otu428",0,1,1,1,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae; g__; s__"
"Otu226",0,0,0,0,2,0,1,3,7,3,6,2,1,2,0,1,0,0,1,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__"
"Otu276",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__"
"Otu665",20,7,6,6,3,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__"
"Otu596",4,0,2,3,5,5,4,10,0,14,11,25,2,0,0,8,1,0,4,0,"k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__Armatimonadaceae; g__; s__"
"Otu2387",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae"
"Otu1872",4,1,0,2,5,1,3,6,7,8,25,11,8,0,1,6,14,4,14,6,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii"
"Otu1683",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Unassignable"
"Otu340",2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,21,15,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
"Otu244",5,4,1,2,11,24,19,20,0,0,9,1,5,1,0,0,3,3,13,12,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae"
"Otu1600",1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__"
"Otu1374",0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae"
"Otu2585",0,0,0,2,0,0,0,0,74,206,24,9,7,19,7,29,4,0,1,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__"
"Otu109",9,7,4,6,38,23,43,98,34,42,27,44,10,4,8,13,18,18,19,18,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii"
"Otu869",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria"
"Otu2179",0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__"
"Otu590",1,1,0,2,0,1,2,2,0,15,0,6,5,2,3,15,7,1,3,9,"k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__"
"Otu1864",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Adhaeribacter; s__"
"Otu920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,1,"k__Bacteria; p__FBP; c__; o__; f__; g__; s__"
"Otu1934",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"k__Bacteria"
"Otu1738",5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales"
"Otu371",7,2,2,2,3,4,6,0,1,8,5,21,5,2,0,7,6,1,10,1,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__"
"Otu158",12,12,11,11,11,30,18,31,17,25,21,28,8,4,6,4,30,14,21,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Actinomycetospora; s__"
"Otu2163",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Pleomorphomonas; s__"
"Otu916",0,0,1,4,1,1,0,7,0,0,3,0,0,0,0,0,0,0,1,1,"k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__Armatimonadaceae; g__; s__"
"Otu2328",6,15,8,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__"
"Otu829",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Sporocytophaga; s__"
"Otu587",11,2,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Rhodocytophaga; s__"
"Otu1685",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"k__Bacteria"
"Otu1999",0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__"
"Otu445",47,40,27,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Alicyclobacillus; s__"
"Otu2974",9,1,4,12,2,3,7,4,1,0,0,2,0,0,0,2,0,1,1,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae"
"Otu364",0,0,0,0,0,0,0,0,9,10,19,19,21,12,20,38,8,0,2,2,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__"
"Otu1444",5,3,3,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__AKIW781; f__; g__; s__"
"Otu2638",0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,2,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"
"Otu2219",0,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria"
"Otu702",0,0,0,1,1,8,1,1,1,5,0,2,2,1,0,2,1,3,2,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__"
"Otu995",1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,9,4,2,0,1,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu1278",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__"
"Otu1994",1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhodobiaceae; g__; s__"
"Otu1662",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales"
"Otu588",0,0,0,1,1,2,1,1,38,29,24,121,18,12,19,100,4,0,1,1,"k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Ellin506; s__"
"Otu756",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
"Otu1850",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__"
"Otu2817",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__Rhodothermaceae; g__Rubricoccus; s__"
"Otu289",4,0,6,1,4,10,5,11,2,0,6,1,0,0,0,3,28,15,30,28,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__"
"Otu396",1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Sporocytophaga; s__"
"Otu1424",0,0,1,0,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium"
"Otu2826",1,1,0,0,0,1,0,2,5,3,2,0,0,0,0,0,1,0,0,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae"
"Otu2224",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__"
"Otu2166",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Procabacteriales; f__Procabacteriaceae; g__Procabacter; s__"
"Otu825",0,0,4,0,0,0,0,0,0,1,4,25,2,0,0,1,1,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
"Otu549",0,1,0,2,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__"
"Otu1694",0,0,0,0,1,0,0,1,1,10,6,7,0,0,1,3,0,0,0,0,"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__"
"Otu489",7,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"k__Bacteria; p__Bacteroidetes"
"Otu888",5,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales"
"Otu1183",0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__; s__"
"Otu200",0,1,1,3,13,2,6,38,441,384,651,253,133,41,60,310,8,3,1,5,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__"
"Otu1871",0,0,0,0,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__"
"Otu572",10,6,4,5,1,1,1,1,0,0,0,1,0,0,0,1,4,1,0,2,"k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__JG30-KF-CM45; f__; g__; s__"
"Otu1689",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__TM7; c__SC3; o__; f__; g__; s__"
"Otu402",3,1,4,7,11,9,20,23,1,5,1,1,1,0,0,1,2,0,1,1,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae"
"Otu595",0,1,0,1,1,1,0,0,4,2,3,10,0,0,0,0,2,2,1,1,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu893",6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__"
"Otu11",2,0,3,2,44,49,69,66,3342,4644,3537,3493,1727,715,829,2948,146,215,191,251,"k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Terriglobus; s__"
"Otu2850",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__"
"Otu1981",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae"
"Otu2288",0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__; g__; s__"
"Otu395",3,1,0,0,2,1,3,8,10,3,1,0,2,0,0,0,2,0,3,5,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu1607",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__"
"Otu2170",7,4,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu1888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"k__Bacteria; p__Bacteroidetes; c__At12OctB3; o__; f__; g__; s__"
"Otu886",2,0,1,0,0,3,2,4,0,0,0,0,0,0,0,1,0,0,1,1,"k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__; f__; g__; s__"
"Otu278",0,0,0,0,29,27,27,85,0,0,2,4,4,2,4,6,2,3,9,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Dyadobacter; s__"
"Otu1244",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__[Amoebophilaceae]; g__Candidatus Amoebophilus; s__"
"Otu704",3,0,2,3,0,4,1,7,0,0,0,0,0,0,3,0,0,0,3,2,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae"
"Otu1430",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae"
"Otu556",0,0,0,0,0,0,1,9,2,3,3,8,0,0,0,0,0,0,1,2,"k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__"
"Otu999",3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__"
"Otu2500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales"
"Otu605",0,5,0,0,0,1,0,3,81,51,55,45,31,16,14,56,6,6,7,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"
"Otu616",0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__"
"Otu1563",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__; f__; g__; s__"
"Otu51",2,0,0,2,21,15,31,55,438,595,412,389,87,47,55,175,4,4,5,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae"
"Otu1157",2,0,0,1,1,3,0,0,0,2,3,1,1,0,0,0,4,0,0,0,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__"
"Otu353",0,0,0,2,11,4,4,9,0,0,0,0,0,0,0,0,5,0,3,2,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu1925",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes"
"Otu64",0,0,0,0,1,0,1,2,1979,1928,1493,1580,624,324,358,1068,13,11,23,26,"k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__"
"Otu481",1,0,1,1,8,16,12,35,0,0,4,0,2,0,0,3,1,1,1,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae"
"Otu392",1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,4,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales"
"Otu2664",0,1,0,1,5,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae"
"Otu1255",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhodobiaceae; g__; s__"
"Otu913",2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__"
"Otu3029",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Cyanobacteria; c__ML635J-21; o__; f__; g__; s__"
"Otu324",0,0,0,0,12,9,9,35,1,4,6,16,3,2,0,1,0,0,1,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu647",0,0,1,2,0,0,0,0,0,1,3,13,0,0,2,0,1,2,1,2,"k__Bacteria; p__FBP; c__; o__; f__; g__; s__"
"Otu1962",0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__"
"Otu1111",0,1,0,0,1,3,0,2,0,0,0,0,1,0,0,0,2,0,2,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales"
"Otu1824",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"k__Bacteria; p__Armatimonadetes; c__[Fimbriimonadia]; o__[Fimbriimonadales]; f__[Fimbriimonadaceae]; g__Fimbriimonas; s__"
"Otu1803",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__"
"Otu905",2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales"
"Otu876",1,0,10,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales"
"Otu377",0,0,0,0,1,0,0,0,0,0,0,28,3,1,4,1,3,2,9,11,"k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__"
"Otu604",0,0,0,1,1,4,8,10,16,20,25,46,6,2,0,12,5,7,12,9,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__"
"Otu2374",6,3,5,8,0,2,0,2,0,0,0,0,0,0,0,0,0,1,3,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"
"Otu1305",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__"
"Otu1676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__"
"Otu478",0,2,0,1,2,3,2,5,3,7,0,2,1,0,0,0,0,1,4,2,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cryptosporangiaceae; g__Cryptosporangium; s__"
"Otu119",0,0,0,0,204,144,191,355,143,155,140,197,35,22,21,81,3,3,3,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu2287",0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__"
"Otu2269",1,13,3,6,0,0,0,2,0,0,0,1,0,0,0,0,2,3,3,2,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__"
"Otu1478",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae"
"Otu2258",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__"
"Otu1034",4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Gemmatimonadetes; c__Gemm-3; o__; f__; g__; s__"
"Otu2371",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes"
"Otu1632",0,1,0,2,0,1,3,9,0,0,0,2,0,0,0,0,2,0,2,0,"k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus"
"Otu3122",2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__"
"Otu2367",6,4,1,2,3,0,0,4,0,0,0,0,0,0,0,4,0,0,0,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__"
"Otu1661",1,3,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,"k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__"
"Otu1330",0,0,0,2,0,0,0,0,8,0,0,0,3,0,0,0,0,0,1,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__tuberum"
"Otu892",0,0,0,0,70,74,32,143,0,16,40,42,11,2,5,22,3,0,3,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu3011",0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,1,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria"
"Otu1970",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria"
"Otu1416",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,"k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__"
"Otu1649",2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__"
"Otu1491",0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__AKIW781; f__; g__; s__"
"Otu727",4,0,2,2,0,0,3,2,10,12,7,9,8,6,7,5,3,0,4,1,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__"
"Otu1584",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__"
"Otu2799",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium; s__"
"Otu1511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,"k__Bacteria; p__Gemmatimonadetes; c__Gemm-3; o__; f__; g__; s__"
"Otu485",2,0,0,0,1,6,3,8,0,0,0,0,1,0,0,0,0,0,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Williamsiaceae; g__Williamsia; s__"
"Otu3065",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__"
"Otu67",0,0,0,3,15,21,16,38,92,344,96,168,149,71,35,125,27,1,3,8,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Luteibacter; s__rhizovicinus"
