#OTU ID,ZD01,ZD02,ZD03,ZD04,ZG01,ZG02,ZG03,ZG04,ZP01,ZP02,ZP03,ZP04,ZS01,ZS02,ZS03,ZS04,ZW01,ZW02,ZW03,ZW04,Consensus Lineage
Otu27,375,314,296,521,55,35,54,139,0,0,1,0,8,0,1,11,103,76,135,150,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
Otu58,0,0,0,0,0,0,0,0,294,318,204,340,71,30,31,136,193,335,129,178,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu102,0,0,1,0,0,0,0,1,520,433,376,294,107,56,83,351,1,1,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__echinoides
Otu40,293,184,209,338,53,47,67,102,21,25,29,20,3,1,1,9,242,166,147,265,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__
Otu141,0,0,0,0,0,0,0,0,666,293,282,669,71,56,45,128,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu157,0,0,0,0,0,0,0,0,633,340,359,553,86,54,32,114,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu92,0,0,0,0,0,0,0,0,4,44,28,45,8,10,3,20,510,367,366,754,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu54,510,289,372,523,3,2,1,5,16,19,9,14,4,5,0,2,145,74,118,14,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
Otu60,204,165,162,300,172,114,52,468,20,65,38,30,9,1,6,34,35,45,64,94,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
Otu125,0,0,0,0,0,0,0,0,276,493,241,325,144,98,107,367,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu80,2,0,0,0,19,6,24,40,411,517,339,340,76,44,42,143,4,4,3,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
Otu48,29,19,10,25,161,226,272,380,164,119,99,159,33,19,24,62,39,30,33,72,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__
Otu99,470,312,425,468,16,26,21,20,0,6,2,24,0,0,1,0,62,20,68,16,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Modestobacter; s__
Otu168,0,0,0,0,0,0,0,0,1898,0,9,7,0,0,3,1,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
Otu22,0,0,0,0,0,0,0,0,456,405,306,278,102,66,62,217,1,0,0,1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu131,0,0,0,0,0,0,0,0,571,229,293,459,60,36,43,189,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu84,0,0,0,0,0,0,0,0,69,218,142,297,250,234,238,391,0,0,0,1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
Otu154,0,0,0,0,0,0,0,0,216,461,318,343,150,59,69,197,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu134,1,1,0,0,18,27,39,26,377,345,214,313,87,42,70,187,19,12,27,7,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae
Otu61,0,1,0,0,0,0,0,0,523,265,301,382,76,43,63,146,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu218,0,0,0,0,0,0,0,0,683,295,160,323,74,52,33,176,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu146,0,0,0,0,28,11,19,56,460,296,196,359,47,63,30,127,18,29,15,20,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__
Otu271,0,0,0,0,0,0,0,0,420,156,243,543,70,19,37,102,13,66,33,52,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu21,0,0,0,0,0,0,0,0,448,216,186,208,130,73,82,352,19,10,16,5,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu82,0,0,0,0,0,1,0,0,285,274,288,382,134,56,65,252,0,0,0,1,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu792,3,1,0,0,45,42,51,50,319,243,196,360,87,74,67,152,3,2,2,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Salinibacterium; s__
Otu66,392,282,354,425,5,11,15,5,0,3,0,0,0,0,0,0,72,44,37,37,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseomonas; s__aerilata
Otu31,12,8,7,16,342,228,380,628,1,1,2,5,3,2,0,1,5,2,2,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
Otu108,0,0,0,0,0,0,0,0,247,316,256,249,127,78,75,268,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu159,0,0,0,0,0,0,0,3,169,368,404,392,47,19,34,132,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu463,0,0,0,0,3,5,2,2,322,309,286,253,84,34,51,210,1,1,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu94,327,228,267,319,4,7,7,5,0,0,0,4,0,0,0,0,113,99,63,54,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae
Otu144,0,0,0,0,7,13,9,21,276,373,222,243,79,35,38,165,3,2,7,3,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__
Otu226,0,0,0,0,0,0,0,0,185,376,305,223,70,32,55,220,5,11,1,10,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
Otu167,0,0,0,0,12,7,13,7,178,235,271,278,121,65,94,208,1,1,1,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Salinibacterium; s__
Otu81,1,0,0,1,13,7,12,13,81,159,132,109,47,40,50,83,142,223,122,195,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
Otu225,0,0,0,0,0,0,0,2,262,367,311,200,65,50,37,110,5,0,0,1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu73,298,262,265,352,3,6,2,6,3,1,4,11,3,1,2,4,54,22,64,37,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
Otu176,0,0,1,3,0,0,0,0,284,198,202,320,94,44,32,156,30,10,16,7,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu44,72,40,30,60,122,91,144,337,43,72,58,84,7,8,10,75,20,27,45,45,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
Otu209,0,0,0,0,0,0,3,3,268,253,221,269,85,43,46,199,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu19,3,6,4,6,207,181,216,430,12,11,8,11,4,1,9,4,52,93,61,68,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava
Otu200,0,0,0,0,3,0,0,3,120,317,224,395,86,40,47,139,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu71,0,2,0,0,298,301,244,524,0,0,0,2,0,1,1,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
Otu215,0,0,0,0,0,0,0,0,358,195,201,477,53,18,12,53,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu46,0,0,0,0,0,0,0,0,232,154,289,330,75,42,59,186,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu327,0,0,0,0,0,0,0,0,193,304,237,206,125,45,60,189,0,2,1,3,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
