"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"15","k__Bacteria;p__Actinobacteria;f__Geodermatophilaceae","W",3.25933564915328,1.41779456832579,4,0.708897284162893,5.04776378636561,"Actinobacteria;f__Geodermatophilaceae","Scrubland","ESV"
"20","k__Bacteria;p__Actinobacteria;f__Microbacteriaceae","W",4.16304819800261,1.39649921579865,4,0.698249607899327,5.26487190620929,"Actinobacteria;f__Microbacteriaceae","Scrubland","ESV"
"25","k__Bacteria;p__Bacteroidetes;f__Chitinophagaceae","W",10.1009552757273,3.47836863712524,4,1.73918431856262,14.3508467216674,"Bacteroidetes;f__Chitinophagaceae","Scrubland","ESV"
"30","k__Bacteria;p__Bacteroidetes;f__Cytophagaceae","W",3.40588363004776,0.826408257697009,4,0.413204128848505,4.20104211897525,"Bacteroidetes;f__Cytophagaceae","Scrubland","ESV"
"35","k__Bacteria;p__Bacteroidetes;f__Sphingobacteriaceae","W",8.17412071211463,1.73417163443651,4,0.867085817218253,10.5188884064264,"Bacteroidetes;f__Sphingobacteriaceae","Scrubland","ESV"
"40","k__Bacteria;p__Proteobacteria;f__Acetobacteraceae","W",15.8380373425966,2.17435344661564,4,1.08717672330782,17.6400347372992,"Proteobacteria;f__Acetobacteraceae","Scrubland","ESV"
"45","k__Bacteria;p__Proteobacteria;f__Caulobacteraceae","W",2.19279201042119,0.306140412481364,4,0.153070206240682,2.50759878419453,"Proteobacteria;f__Caulobacteraceae","Scrubland","ESV"
"50","k__Bacteria;p__Proteobacteria;f__Methylobacteriaceae","W",8.82815892314373,1.93178194667302,4,0.965890973336509,11.5610073816761,"Proteobacteria;f__Methylobacteriaceae","Scrubland","ESV"
"55","k__Bacteria;p__Proteobacteria;f__Oxalobacteraceae","W",3.72611810681719,2.0591987946345,4,1.02959939731725,5.38428137212332,"Proteobacteria;f__Oxalobacteraceae","Scrubland","ESV"
"60","k__Bacteria;p__Proteobacteria;f__Sphingomonadaceae","W",13.2924446374294,1.00643528271361,4,0.503217641356805,14.6113764654798,"Proteobacteria;f__Sphingomonadaceae","Scrubland","ESV"
