"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"56","p__Proteobacteria;f__Sphingomonadaceae;g__Sphingomonas","D",12.8636561007382,0.948632474905396,4,0.474316237452698,13.6886669561442,"Sphingomonadaceae;g__Sphingomonas","Desert","ESV"
"2","p__;f__other taxa","G",45.8423795049935,0,4,0,NA,"other taxa","Grassland","ESV"
"7","p__Acidobacteria;f__Acidobacteriaceae;g__unidentified","G",0.322948328267477,0.200629322613214,4,0.100314661306607,0.531914893617021,"Acidobacteriaceae;g__unidentified","Grassland","ESV"
"12","p__Actinobacteria;f__Geodermatophilaceae;g__Modestobacter","G",0.529201042118975,0.122614842052811,4,0.0613074210264055,0.60790273556231,"Geodermatophilaceae;g__Modestobacter","Grassland","ESV"
"17","p__Actinobacteria;f__Microbacteriaceae;g__Curtobacterium","G",11.0616587060356,2.10563165630375,4,1.05281582815188,12.733391228832,"Microbacteriaceae;g__Curtobacterium","Grassland","ESV"
"22","p__Bacteroidetes;f__Chitinophagaceae;g__Segetibacter","G",0.521059487624837,0.126904602089667,4,0.0634523010448335,0.651324359531047,"Chitinophagaceae;g__Segetibacter","Grassland","ESV"
"27","p__Bacteroidetes;f__Cytophagaceae;g__Hymenobacter","G",10.2176508901433,1.37066069370147,4,0.685330346850735,11.6261398176292,"Cytophagaceae;g__Hymenobacter","Grassland","ESV"
"32","p__Bacteroidetes;f__Sphingobacteriaceae;g__unidentified","G",4.04906643508467,1.21745205168468,4,0.60872602584234,5.61224489795918,"Sphingobacteriaceae;g__unidentified","Grassland","ESV"
"37","p__Proteobacteria;f__Acetobacteraceae;g__unidentified","G",1.70701259227095,0.375558873682684,4,0.187779436841342,2.07338254450716,"Acetobacteraceae;g__unidentified","Grassland","ESV"
"42","p__Proteobacteria;f__Caulobacteraceae;g__unidentified","G",0.263243595310465,0.0519662998130883,4,0.0259831499065441,0.325662179765523,"Caulobacteraceae;g__unidentified","Grassland","ESV"
"47","p__Proteobacteria;f__Methylobacteriaceae;g__Methylobacterium","G",4.41000868432479,0.72014117544777,4,0.360070587723885,5.3300043421624,"Methylobacteriaceae;g__Methylobacterium","Grassland","ESV"
"52","p__Proteobacteria;f__Oxalobacteraceae;g__Janthinobacterium","G",8.75217108119844,1.50954884372219,4,0.754774421861095,10.084672166739,"Oxalobacteraceae;g__Janthinobacterium","Grassland","ESV"
"57","p__Proteobacteria;f__Sphingomonadaceae;g__Sphingomonas","G",12.323599652627,1.12712975607209,4,0.563564878036045,13.7320885801129,"Sphingomonadaceae;g__Sphingomonas","Grassland","ESV"
"3","p__;f__other taxa","P",28.948653929657,0,3.81818181818182,0,NA,"other taxa","Pine-Oak","ESV"
