"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"12","k__Bacteria;p__Actinobacteria;f__Geodermatophilaceae","G",0.971958440397721,0.190251216243173,4,0.0951256081215864,1.16188135403866,"Actinobacteria;f__Geodermatophilaceae","Grassland","OTU"
"17","k__Bacteria;p__Actinobacteria;f__Microbacteriaceae","G",16.5763601832198,3.7378920255018,4,1.8689460127509,19.5062004245336,"Actinobacteria;f__Microbacteriaceae","Grassland","OTU"
"22","k__Bacteria;p__Bacteroidetes;f__Chitinophagaceae","G",1.56686403753771,0.273712434364875,4,0.136856217182438,1.89922913640934,"Bacteroidetes;f__Chitinophagaceae","Grassland","OTU"
"27","k__Bacteria;p__Bacteroidetes;f__Cytophagaceae","G",11.437269578818,1.85147386357607,4,0.925736931788035,13.138196849514,"Bacteroidetes;f__Cytophagaceae","Grassland","OTU"
"32","k__Bacteria;p__Bacteroidetes;f__Sphingobacteriaceae","G",6.89029158753212,1.5789329339387,4,0.78946646696935,8.98223662160652,"Bacteroidetes;f__Sphingobacteriaceae","Grassland","OTU"
"37","k__Bacteria;p__Proteobacteria;f__Acetobacteraceae","G",2.22042229918445,0.363317018781382,4,0.181658509390691,2.63657691878002,"Proteobacteria;f__Acetobacteraceae","Grassland","OTU"
"42","k__Bacteria;p__Proteobacteria;f__Caulobacteraceae","G",0.594905597139984,0.0797183727278429,4,0.0398591863639214,0.703831974081108,"Proteobacteria;f__Caulobacteraceae","Grassland","OTU"
"47","k__Bacteria;p__Proteobacteria;f__Methylobacteriaceae","G",4.47156742263434,0.788782731409014,4,0.394391365704507,5.48542062339403,"Proteobacteria;f__Methylobacteriaceae","Grassland","OTU"
"52","k__Bacteria;p__Proteobacteria;f__Oxalobacteraceae","G",11.3423081219975,1.96969344433228,4,0.984846722166139,13.0264774885488,"Proteobacteria;f__Oxalobacteraceae","Grassland","OTU"
"57","k__Bacteria;p__Proteobacteria;f__Sphingomonadaceae","G",14.328008043794,1.77317315156894,4,0.886586575784468,16.9031393140431,"Proteobacteria;f__Sphingomonadaceae","Grassland","OTU"
