,Mock,NC,NC3,Consensus.Lineage
Otu91,1,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
Otu64,1,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
Otu23,1,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Luteibacter; s__rhizovicinus
Otu2113,1,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Rhodanobacter
Otu2542,0,0,0,k__Bacteria
Otu2217,0,0,0,k__Bacteria
Otu924,0,0,0,k__Bacteria
Otu1165,0,0,0,k__Bacteria
Otu1705,0,0,0,k__Bacteria
Otu701,0,0,0,k__Bacteria
Otu2414,0,0,0,k__Bacteria
Otu1550,0,0,0,k__Bacteria
Otu2368,0,0,0,k__Bacteria
Otu2388,0,0,0,k__Bacteria
Otu808,0,0,0,k__Bacteria
Otu1541,0,0,0,k__Bacteria
Otu1597,0,0,0,k__Bacteria
Otu2604,0,0,0,k__Bacteria
Otu1566,0,0,0,k__Bacteria
Otu2160,0,0,0,k__Bacteria
Otu1647,0,0,0,k__Bacteria
Otu1864,0,0,0,k__Bacteria
Otu2229,0,0,0,k__Bacteria
Otu1442,0,0,0,k__Bacteria
Otu1171,0,0,0,k__Bacteria
Otu1787,0,0,0,k__Bacteria
Otu810,0,0,0,k__Bacteria
Otu1676,0,0,0,k__Bacteria
Otu2568,0,0,0,k__Bacteria
Otu2010,0,0,0,k__Bacteria
Otu1222,0,0,0,k__Bacteria
Otu2037,0,0,0,k__Bacteria
Otu1378,0,0,0,k__Bacteria
Otu1270,0,0,0,k__Bacteria
Otu1699,0,0,0,k__Bacteria
Otu1684,0,0,0,k__Bacteria
Otu1340,0,0,0,k__Bacteria
Otu495,0,0,0,k__Bacteria
Otu2394,0,0,0,k__Bacteria
Otu1462,0,0,0,k__Bacteria
Otu2304,0,0,0,k__Bacteria
Otu2564,0,0,0,k__Bacteria
Otu1915,0,0,0,k__Bacteria
Otu2085,0,0,0,k__Bacteria
Otu1339,0,0,0,k__Bacteria
Otu2571,0,0,0,k__Bacteria
Otu1391,0,0,0,k__Bacteria
Otu2417,0,0,0,k__Bacteria
Otu2215,0,0,0,k__Bacteria
Otu2092,0,0,0,k__Bacteria
Otu2214,0,0,0,k__Bacteria
Otu1790,0,0,0,k__Bacteria
Otu800,0,0,0,k__Bacteria
Otu1180,0,0,0,k__Bacteria
Otu2398,0,0,0,k__Bacteria
Otu831,0,0,0,k__Bacteria
Otu1959,0,0,0,k__Bacteria
Otu2580,0,0,0,k__Bacteria
Otu2393,0,0,0,k__Bacteria
Otu1021,0,0,0,k__Bacteria
Otu1998,0,0,0,k__Bacteria
Otu1446,0,0,0,k__Bacteria
Otu1370,0,0,0,k__Bacteria
Otu2332,0,0,0,k__Bacteria
Otu1880,0,0,0,k__Bacteria
Otu2189,0,0,0,k__Bacteria
Otu2550,0,0,0,k__Bacteria
Otu1159,0,0,0,k__Bacteria
Otu2536,0,0,0,k__Bacteria
Otu1872,0,0,0,k__Bacteria
Otu2572,0,0,0,k__Bacteria
Otu2245,0,0,0,k__Bacteria
Otu1917,0,0,0,k__Bacteria
Otu2108,0,0,0,k__Bacteria
Otu2557,0,0,0,k__Bacteria
Otu2374,0,0,0,k__Bacteria
Otu2561,0,0,0,k__Bacteria
Otu2350,0,0,0,k__Bacteria
Otu2098,0,0,0,k__Bacteria
Otu1448,0,0,0,k__Bacteria
Otu2075,0,0,0,k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus
Otu786,0,0,0,k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__
Otu347,0,0,0,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__
Otu1390,0,0,0,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__
Otu2095,0,0,0,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__
Otu517,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae
Otu2494,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae
Otu2615,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae
Otu2411,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu449,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
