Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
2D01,0.495,0.000886,108.2,0.733,0.48,5.07,8.85,9989,94,0.337,0.267,2.18,3.15,0.947
2D02,0.166,0.00219,144.7,0.923,0.622,15.6,21.9,9992,143,0.285,0.0774,3.09,4.45,1.34
2D04,0.203,0.00177,109.4,0.906,0.614,12.8,17.7,9981,107,0.306,0.0941,2.87,4.14,1.25
2G01,0.563,0.00069,119.3,0.661,0.409,3.87,6.9,9998,112,0.372,0.339,1.93,2.79,0.839
2G02,0.487,0.000824,121.6,0.727,0.444,4.76,8.23,9987,115,0.345,0.273,2.11,3.04,0.916
2G03,0.111,0.00251,119.3,0.942,0.678,19.9,25.2,10001,116,0.308,0.0576,3.22,4.65,1.4
2G04,0.827,0.000236,70.5,0.311,0.215,1.65,2.35,9993,54,0.418,0.689,0.856,1.24,0.372
2P01,0.259,0.0014,97.2,0.882,0.581,10.2,14,9996,94,0.295,0.118,2.64,3.81,1.15
2P02,0.33,0.000996,88.9,0.827,0.513,7.02,9.95,9992,88,0.236,0.173,2.3,3.32,0.998
2P03,0.131,0.00196,76.4,0.926,0.691,15.5,19.6,9982,74,0.147,0.0736,2.97,4.29,1.29
2P04,0.616,0.000607,96.6,0.607,0.402,3.33,6.06,9983,88,0.326,0.393,1.8,2.6,0.782
2S01,0.446,0.001,109.7,0.774,0.501,5.96,10,9998,99,0.37,0.226,2.3,3.32,1
2S02,0.241,0.00184,113.3,0.9,0.615,12.6,18.3,9983,113,0.14,0.0997,2.91,4.2,1.26
2S03,0.184,0.00201,125.5,0.914,0.622,14.1,20.1,9972,124,0.232,0.0864,3,4.33,1.3
2S04,0.138,0.00208,97.2,0.93,0.665,16.5,20.8,9987,96,0.237,0.0699,3.03,4.38,1.32
2W01,0.364,0.0013,109.8,0.825,0.547,7.65,13,9974,108,0.211,0.175,2.56,3.7,1.11
2W02,0.258,0.002,133.1,0.897,0.616,12.8,20,9995,129,0.285,0.103,2.99,4.32,1.3
2W03,0.431,0.00126,102,0.795,0.548,6.95,12.6,10003,102,0,0.205,2.54,3.66,1.1
2W04,0.295,0.00169,133.7,0.871,0.58,10.4,16.9,9983,131,0.318,0.129,2.83,4.08,1.23
3C01,0.219,0.00131,134.2,0.864,0.529,8.81,13.1,9980,129,0.323,0.136,2.57,3.71,1.12
3C02,0.237,0.00182,108.5,0.901,0.621,12.7,18.2,9996,107,0.222,0.0986,2.9,4.19,1.26
3C03,0.627,0.000532,76.7,0.588,0.389,3.08,5.32,10010,74,0.187,0.412,1.67,2.41,0.726
3D01,0.382,0.000578,111.4,0.703,0.374,3.91,5.78,10004,109,0.4,0.297,1.76,2.53,0.762
3D02,0.427,0.000589,73.6,0.712,0.415,4.09,5.89,9990,72,0.219,0.288,1.77,2.56,0.77
3D03,0.359,0.000733,111.5,0.774,0.428,5.17,7.32,9991,105,0.443,0.226,1.99,2.87,0.864
3D04,0.478,0.000509,57.8,0.7,0.406,3.84,5.08,9982,55,0.339,0.3,1.63,2.35,0.706
3G01,0.231,0.00127,81.7,0.874,0.578,9.4,12.7,9990,81,0.171,0.126,2.54,3.66,1.1
3G02,0.425,0.00107,108.4,0.791,0.508,6.44,10.7,9989,106,0.308,0.209,2.37,3.42,1.03
3G03,0.613,0.000576,101.1,0.61,0.393,3.32,5.76,9995,86,0.379,0.39,1.75,2.53,0.76
3G04,0.653,0.000486,79.6,0.558,0.361,2.84,4.85,9984,79,0.225,0.442,1.58,2.28,0.686
3P01,0.278,0.00171,203.9,0.875,0.55,10.4,17.1,10004,175,0.432,0.125,2.84,4.09,1.23
3P02,0.351,0.00132,169.5,0.824,0.506,7.48,13.1,9984,162,0.356,0.176,2.58,3.72,1.12
3P03,0.196,0.00236,172.9,0.924,0.619,16.4,23.6,10002,166,0.377,0.0762,3.16,4.56,1.37
3P04,0.194,0.00198,128.7,0.909,0.615,13.5,19.7,9978,128,0.194,0.0914,2.98,4.3,1.3
3S01,0.208,0.00199,186.5,0.902,0.575,12.9,19.9,9994,182,0.377,0.0983,2.99,4.32,1.3
3S02,0.268,0.0015,142.6,0.867,0.551,9.48,14.9,9978,135,0.287,0.133,2.7,3.9,1.17
3S03,0.367,0.00102,121.2,0.809,0.486,6.55,10.2,9983,119,0.3,0.191,2.32,3.35,1.01
3W01,0.334,0.000686,93.9,0.77,0.43,4.95,6.86,9993,88,0.348,0.23,1.93,2.78,0.836
3W02,0.522,0.000678,101.5,0.687,0.418,4.05,6.78,9989,97,0.306,0.313,1.91,2.76,0.831
3W03,0.596,0.000571,177,0.62,0.377,3.35,5.71,10007,102,0.476,0.38,1.74,2.51,0.757
3W04,0.254,0.00114,111.2,0.857,0.527,8.21,11.4,9991,102,0.291,0.143,2.44,3.51,1.06
4C01,0.58,0.000468,54.9,0.626,0.387,3.24,4.68,9995,54,0.273,0.374,1.54,2.23,0.67
4C02,0.176,0.00116,80.5,0.885,0.567,9.6,11.6,9999,76,0.351,0.115,2.45,3.54,1.07
4C03,0.754,0.000271,40.7,0.416,0.27,1.97,2.71,9994,40,0.293,0.584,0.996,1.44,0.433
4C04,0.506,0.000399,49.1,0.641,0.368,3.12,3.99,9994,43,0.318,0.359,1.38,2,0.601
4D01,0.322,0.000658,81.7,0.777,0.43,5.02,6.57,9996,80,0.296,0.223,1.88,2.72,0.818
4D02,0.41,0.000885,97.9,0.785,0.477,5.83,8.85,9992,97,0.224,0.215,2.18,3.15,0.947
4D03,0.457,0.000778,98.6,0.736,0.448,4.79,7.77,9991,97,0.276,0.264,2.05,2.96,0.891
4D04,0.607,0.00054,116.2,0.606,0.367,3.2,5.4,9997,99,0.41,0.394,1.69,2.43,0.732
4G01,0.48,0.000747,98,0.728,0.44,4.65,7.46,9986,96,0.289,0.272,2.01,2.9,0.873
4G02,0.292,0.001,94.8,0.837,0.509,7.23,10,9988,93,0.266,0.163,2.31,3.33,1
4G03,0.662,0.000477,81.3,0.548,0.355,2.77,4.76,9987,81,0.146,0.452,1.56,2.25,0.678
4G04,0.805,0.000261,60.6,0.344,0.237,1.75,2.61,9989,57,0.276,0.656,0.958,1.38,0.416
4P01,0.503,0.000904,130.6,0.723,0.454,4.87,9.02,9982,127,0.336,0.277,2.2,3.17,0.955
4P02,0.504,0.000657,102.8,0.69,0.409,4.02,6.56,9985,99,0.33,0.31,1.88,2.71,0.817
4P03,0.83,0.000248,66.1,0.307,0.218,1.65,2.48,9991,65,0.227,0.693,0.908,1.31,0.394
4P04,0.444,0.000767,118,0.741,0.428,4.77,7.66,9995,116,0.291,0.259,2.04,2.94,0.884
4S01,0.6,0.000603,108.3,0.62,0.386,3.39,6.02,9989,105,0.292,0.38,1.8,2.59,0.78
4S02,0.559,0.000494,124.5,0.621,0.347,3.14,4.93,9987,100,0.416,0.379,1.6,2.3,0.693
4S03,0.736,0.000408,96.5,0.453,0.309,2.26,4.08,9995,94,0.284,0.547,1.41,2.03,0.611
4S04,0.823,0.000268,85.1,0.318,0.224,1.69,2.68,9985,82,0.301,0.682,0.986,1.42,0.428
4W01,0.583,0.000481,84.5,0.622,0.358,3.19,4.8,9986,80,0.296,0.378,1.57,2.26,0.681
4W02,0.345,0.000809,123.4,0.767,0.441,5.22,8.08,9993,114,0.339,0.233,2.09,3.01,0.907
4W03,0.449,0.000435,78.2,0.659,0.338,3.27,4.34,9986,77,0.295,0.341,1.47,2.12,0.638
4W04,0.455,0.000623,88,0.722,0.412,4.32,6.23,9988,85,0.372,0.278,1.83,2.64,0.794
5C01,0.786,0.000264,46.4,0.374,0.256,1.85,2.64,9991,44,0.244,0.626,0.969,1.4,0.421
5C02,0.556,0.000547,79.1,0.654,0.393,3.55,5.46,9993,75,0.303,0.346,1.7,2.45,0.738
5C03,0.257,0.00108,91.7,0.848,0.537,7.84,10.8,10001,85,0.384,0.152,2.38,3.44,1.04
5C04,0.44,0.000427,64.8,0.66,0.349,3.26,4.27,9993,64,0.277,0.34,1.45,2.09,0.63
5D01,0.62,0.000375,62.1,0.571,0.325,2.71,3.75,9993,58,0.339,0.429,1.32,1.91,0.574
5D02,0.714,0.000335,68.2,0.472,0.291,2.24,3.35,9986,64,0.4,0.528,1.21,1.74,0.525
5D03,0.655,0.000366,72.3,0.53,0.304,2.49,3.65,9987,71,0.292,0.47,1.3,1.87,0.563
5D04,0.537,0.000816,119.1,0.695,0.44,4.45,8.14,9983,117,0.314,0.305,2.1,3.03,0.911
5G01,0.459,0.000764,89.7,0.751,0.455,5.05,7.64,9994,87,0.318,0.249,2.03,2.93,0.883
5G02,0.328,0.00114,110.5,0.84,0.521,7.72,11.3,9986,106,0.393,0.16,2.43,3.5,1.05
5G03,0.464,0.000889,75,0.76,0.507,5.54,8.88,9989,74,0.24,0.24,2.18,3.15,0.949
5G04,0.511,0.000668,78.1,0.701,0.441,4.23,6.67,9990,74,0.267,0.299,1.9,2.74,0.824
5P02,0.525,0.000753,100.6,0.699,0.44,4.37,7.51,9984,98,0.323,0.301,2.02,2.91,0.876
5P03,0.27,0.00142,140.4,0.874,0.54,9.76,14.2,10002,137,0.341,0.126,2.66,3.83,1.15
5P04,0.327,0.0012,131.1,0.84,0.512,7.8,12,9983,127,0.312,0.16,2.48,3.58,1.08
5S01,0.173,0.00186,130.6,0.912,0.602,13.6,18.6,9979,128,0.318,0.0876,2.92,4.22,1.27
5S02,0.326,0.00134,137.2,0.849,0.529,8.49,13.4,9994,135,0.324,0.151,2.59,3.74,1.13
5S04,0.329,0.00151,149.7,0.859,0.543,9.4,15.1,9983,148,0.322,0.141,2.71,3.91,1.18
5W01,0.416,0.000472,75.5,0.695,0.364,3.63,4.72,9992,71,0.333,0.305,1.55,2.24,0.674
5W02,0.351,0.000638,82.1,0.768,0.424,4.86,6.37,9990,79,0.312,0.232,1.85,2.67,0.804
5W03,0.549,0.000381,59.7,0.627,0.328,3.01,3.81,9992,59,0.267,0.373,1.34,1.93,0.581
5W04,0.405,0.00055,105.7,0.711,0.368,3.93,5.49,9986,102,0.398,0.289,1.7,2.46,0.74
